Data;pH;Turbidez;CondutividadeEletrica
20/10/2006;7,53;184;81,2
27/10/2006;6,7;0,75;
01/11/2006;7,6;3,37;
01/11/2006;7,56;4,03;
08/11/2006;6,55;11,8;
08/11/2006;7,11;2,49;
08/11/2006;7,01;4,67;
16/11/2006;7,16;28,5;
16/11/2006;7,79;2,56;
23/11/2006;7,21;5,52;
23/11/2006;6,73;2,8;
23/11/2006;7,26;0,66;
28/11/2006;7,45;5,26;
28/11/2006;0;2,29;
29/11/2006;5,36;0,42;
30/11/2006;5;0,62;
30/11/2006;6,68;4,18;
05/12/2006;6,47;1,48;
05/12/2006;7,41;7,06;
05/12/2006;7,66;2,71;
05/12/2006;7,14;6,6;
19/04/2007;7,5;;103
03/07/2007;6,9;;6
10/08/2007;7,92;;157,8
23/08/2007;5,5;;48
26/10/2007;6;;7
10/12/2007;7,6;;56
28/01/2008;7,34;71,3;
30/01/2008;7,64;14;
18/02/2008;6,46;4,79;
27/02/2008;7,1;396;
27/02/2008;7,62;75,7;
28/02/2008;7,55;7,65;
28/02/2008;5,4;0,5;
11/03/2008;5,91;8,18;
15/04/2008;7,09;;1
17/04/2008;7,6;17;
25/04/2008;7,27;;62
26/04/2008;6,96;;57
11/05/2008;7,29;3,98;
21/05/2008;7,79;;136
22/05/2008;;;42,1
26/05/2008;4,82;;51
27/05/2008;6,85;8,7;
28/05/2008;7,24;4,66;
28/05/2008;6,6;;8
29/05/2008;6;3,82;
14/07/2008;7,8;;34
25/07/2008;7,25;;1
06/08/2008;7,46;;83
07/08/2008;7,75;;72
11/08/2008;8,18;8,7;
14/08/2008;5,06;0,3;
23/08/2008;6,94;0;
25/08/2008;5,92;8,29;
26/08/2008;7;3,07;
26/08/2008;5,8;5,38;
27/08/2008;6,98;;27
29/08/2008;7,46;;33,2
03/09/2008;5,53;;6
04/09/2008;7,65;73,9;
15/09/2008;7,66;1,55;
15/09/2008;7,5;0,73;
30/09/2008;7,72;;150
02/10/2008;7,45;;94
03/10/2008;7,42;;50
06/10/2008;7,34;1,3;
10/10/2008;8,16;4,15;
22/10/2008;7,26;1,18;
22/10/2008;7,89;4,8;
25/10/2008;6,91;;13
01/11/2008;7,33;;85
06/11/2008;7,53;;79
20/11/2008;7,2;3;
24/11/2008;6,51;52,4;
26/11/2008;7,53;22;
26/11/2008;7,11;10,4;
26/11/2008;8,38;6,03;
01/12/2008;6,3;;12
03/12/2008;6,45;;27,5
06/12/2008;7,83;;98
