Data;pH;Turbidez;CondutividadeEletrica;DBO;OD
06/12/2017;;48,3;;;
25/08/2009;7,7;3,17;56;;
17/08/2012;6,87;5,53;62,4;;7,22
24/03/2015;9,17;;34,5;;7,01
21/06/2018;8,28;;65;;7,53
28/09/2011;7,59;9,58;47,9;;7,25
19/03/2014;7,7;94,5;53,2;;7,29
29/06/2011;7,99;10,3;56,6;;7,72
11/11/2012;7,04;21,7;30;;6,75
18/03/2016;6,64;;39,2;;7,3
26/10/2015;6,39;;31,2;;5,82
14/07/2016;6,07;;22,7;;7,6
26/05/2009;7,68;;98;;7,26
31/01/2019;7,99;7,74;;;7,1
28/04/2006;7,05;18,2;;0,35;5,14
04/09/2008;7,65;73,9;;4,3;9,8
14/07/2009;7,1;6,26;;0,9;7,2
17/12/2009;7,16;20,3;;0,7;5,4
20/12/2010;6,98;26,2;;1,8;7,6
27/10/2006;6,7;0,75;;0,23;4,43
11/08/2008;8,18;8,7;;0,6;7,1
14/07/2009;7,49;0,72;;1,9;7,3
17/12/2009;7,16;1,03;;0,4;5,4
20/12/2010;7,14;1,1;;2,3;7,8
09/06/2009;7,4;1,99;;1,1;4,3
12/04/2006;6,7;2,23;;1,9;6,19
08/11/2006;7,11;2,49;;1,07;5,22
12/12/2008;7,1;2,53;;1,1;8,5
13/10/2009;6,83;3,61;;1,16;8,9
18/10/2010;7,48;3,98;;0,05;5,6
19/09/2018;8;;;;7,4
27/09/2011;7,96;6,67;61,9;;7,96
16/03/2017;6,83;;0;;7,19
28/02/2012;7,17;79,5;41,1;;7,16
04/12/2018;8,49;42,9;;;6,41
07/12/2009;7,07;111;28;;
23/03/2015;7,91;;30,7;;7,38
19/04/2013;6,82;24,1;46;;7,24
09/11/2012;7,23;4,45;51,9;;6,9
28/08/2009;7,71;2,83;64;;
16/08/2012;7,05;3,67;63,4;;7,64
08/07/2013;7,78;2,29;58,1;;7,93
03/10/2013;7,59;3,02;38,9;;7,18
05/12/2017;;69,2;;;
22/05/2012;6,73;20,2;54,2;;7,69
23/09/2017;;5,33;;;
29/05/2009;7,65;;89;;7,69
17/10/2014;7,7;;40,8;;7,3
18/10/2016;6,81;0;25,1;;7,28
18/06/2010;7,72;4,51;63;;8,5
30/06/2011;8,16;9,18;59,5;;8,12
15/07/2016;6,38;;31;;7,39
18/03/2014;7,67;33,7;49,8;;7,63
21/03/2016;6,43;;37,2;;6,9
27/10/2015;6,69;;35,4;;6,85
29/07/2015;7,52;;54,2;;7,8
20/06/2018;8,29;;57;;7,93
30/01/2019;7,72;26,9;;;7,27
18/10/2010;7,34;6,37;;0,02;5
02/06/2009;6,81;5,93;;1,4;6,8
13/10/2009;7,04;10,9;;0,9;6,7
08/11/2006;7,01;4,67;;0,04;3,25
28/04/2006;5,93;3,95;;1,99;7,14
16/12/2008;5,39;7,72;;1,5;5,9
14/07/2009;6,1;3,31;;0,8;4,4
17/12/2009;6,21;4,67;;0,2;3,6
27/12/2010;6,28;15;;0,8;4,5
04/09/2006;7,6;3,37;;0,23;6,02
01/11/2006;7,6;3,37;;0,23;6,02
26/11/2008;7,53;22;;0,32;5,7
10/12/2009;7,01;83,7;;2;6,4
13/09/2010;6,4;3,67;;0,02;3,8
13/02/2006;7,03;110;;3,2;5,69
18/08/2010;7,3;3,58;;0,38;10,6
29/08/2006;7,17;2,77;;1,27;6,46
26/08/2008;7;3,07;;0,08;7,1
08/06/2009;7,03;5,97;;3;7,9
24/08/2009;7,46;4,72;;0,6;6,7
07/03/2017;7,02;15,23;;;6,36
15/06/2017;7,46;;;;8,11
15/03/2018;6,54;24,9333;;;5,6267
14/06/2018;6,76;17,3633;;;7,3033
05/09/2018;6,87;6,3;;;6,2
06/12/2018;6,34;47,84;;;
17/04/1980;6,6;;112;;8
17/04/1980;6,8;;100;;8
17/08/1980;8;;148;;7,4
17/08/1980;8,1;;130;;7,5
26/11/2008;7,11;10,4;;1,42;8,4
28/04/2009;6,28;5,24;;1,8;7,8
01/09/2009;7,32;3,4;;0,3;7,8
19/04/2006;6,97;16,4;;1,27;5,25
04/09/2006;6,83;2,95;;0,57;6,05
14/09/2010;7,56;2,25;;0,2;6,9
04/09/2006;6,86;2,1;;0,85;7,17
26/11/2008;8,38;6,03;;0,01;7,6
08/06/2009;7,38;4,54;;1,9;8,3
26/10/2009;7,4;2,5;;0,3;7,5
13/09/2010;6,94;1,43;;0,2;6
29/05/2008;6;3,82;;0,67;5,97
27/10/2009;6,21;18,2;;1;1,5
13/09/2010;6,18;2,82;;0,2;6,9
29/09/2009;6,11;2,49;;0,8;4,7
20/02/2006;6,89;284;;1,92;6,29
31/07/2006;6,82;12,3;;1,5;5,68
29/12/2008;6,81;11;;1,5;8,6
23/01/2009;7,18;80,8;;0,7;8
26/02/2009;7,16;28,9;;2;9,2
28/04/2009;6,69;28,5;;0,8;7,2
03/11/2009;6,62;478;;2,4;6
01/03/2010;6,3;20,9;;0,4;6,4
20/02/2006;6,21;83,5;;0,88;5,92
02/08/2006;5,36;1,94;;2,23;6,74
18/02/2008;6,46;4,79;;3,32;7,84
22/01/2009;6,29;3,22;;0,2;7,2
20/07/2009;6,24;1,9;;0,8;7,9
04/11/2009;6,29;3,18;;1;6,2
30/08/2010;6,53;5,04;;0,4;6,7
20/02/2006;6,63;14,5;;1,29;5,95
01/08/2006;6,27;4,79;;1,93;6,31
26/08/2008;5,8;5,38;;1,22;5,18
22/01/2009;6,58;20,2;;0,9;11,7
02/03/2009;6,69;14,2;;0,2;7,9
20/07/2009;6,36;4,41;;0,5;6,3
04/11/2009;6,74;17,4;;0,7;5,8
04/08/2010;6,05;2,01;;0,12;7,4
20/02/2006;6,22;13,5;;0,5;5,01
01/08/2006;5,88;4,1;;1,06;6,18
25/08/2008;5,92;8,29;;1,95;6,66
22/01/2009;6,3;52,3;;0,9;11,7
02/03/2009;6,16;13,6;;0;7,2
20/07/2009;6,07;3,03;;0,2;6,2
04/11/2009;6,3;15,7;;0,7;5,4
04/08/2010;5,7;3,62;;0,06;8,3
26/09/2006;7,49;1,98;;0,8;4,79
30/11/2006;5;0,62;;0,08;2,41
28/02/2008;7,55;7,65;;1,55;4,48
06/05/2009;7,04;4,64;;0;8
26/08/2009;8,08;4,53;;0,4;5,8
17/08/2010;7,28;4,02;;0,76;12
11/07/2009;7,3;2,72;63;;6,5
21/03/2012;8,3;4,5;0,052;;7,6
11/12/2012;9,4;2,38;0,068;;5,5
25/04/2014;7,4;0,8;42,6;;6,2
16/11/2011;9,3;4,84;0,078;;5,8
28/03/2011;6,8;19,2;48;;
13/10/2012;8,7;1,15;0,073;;7,5
27/10/2010;7,34;2,82;0,075;;7,05
11/11/2013;8,3;0;0,0691;;7,7
12/08/2010;7,81;3,75;67;;8,01
19/04/2010;7,2;3,71;0,064;;6,4
10/09/2013;8,1;40,4;0,0705;;
13/05/2013;7,3;42,6;0,0534;;6
11/08/2011;8,2;2,95;0,079;;7,9
07/10/2009;8;1,69;79;;6,6
09/07/2012;10,7;4,92;0,066;;8,3
24/11/2014;8,03;3,3;;;7,39
27/06/2005;10;;26,2;;8,6
22/10/2002;5,7;;42,5;;
30/08/1985;7;;111;;6,6
03/02/2003;7,17;;49,4;;5,2
19/04/2003;;;51;;3,6
23/08/2003;5,4;;70,2;;4,2
07/06/2017;7,87;;;;7,9
03/03/2017;7,64;2,25;;;7,14
28/08/2018;7,48;3,75;;;7,51
26/11/2018;7,75;2;;;
07/06/2018;7,61;1,8;;;7,9533
09/03/2018;6,9733;18,2067;;;5,4033
30/11/2006;6,68;4,18;;1,15;4,65
26/11/2009;6,66;8,9;;0,4;6,4
21/12/2009;6,75;4,18;;0,7;6,5
16/11/2010;6,5;84,5;;1,6;5,4
10/05/2006;6,54;34,2;;0,95;4,75
01/11/2006;7,56;4,03;;3,38;6,62
16/11/2009;6,83;6,98;;0,3;5,5
21/12/2009;6,83;5,15;;0,6;6,7
16/11/2010;7,1;12,7;;0,5;6,2
10/05/2006;5,24;1,34;;1,41;5,06
29/11/2006;5,36;0,42;;1,21;4,86
16/11/2009;5,44;0,69;;0,12;6
21/12/2009;5,52;0,69;;1,1;6,3
16/11/2010;5,33;1,05;;0,2;5,5
20/04/2006;7,11;47,5;;1,26;5,75
16/11/2006;7,16;28,5;;1,01;5,12
27/05/2008;6,85;8,7;;1,36;8,1
16/11/2009;7,06;10,7;;1,9;7,2
15/12/2009;6,92;14,3;;1,5;6,5
05/10/2010;6,9;5,41;;0,2;6,9
28/03/2006;6,83;18,4;;2,08;6,44
20/04/2006;7,31;184;;0,5;5,93
24/08/2006;7,57;3,16;;1,89;6,25
16/11/2006;7,79;2,56;;1,29;5,33
28/05/2008;7,24;4,66;;1,23;6,52
14/12/2009;7,46;4,21;;0,7;6,1
05/10/2010;7,79;5,15;;0,01;7
22/02/2006;5,47;0,77;;0,69;4,36
08/08/2006;4,94;0,29;;2,15;6,21
14/08/2008;5,06;0,3;;1,1;6,2
17/06/2009;5,5;0,32;;2;9,7
19/08/2010;5,52;0,56;;0,14;6,7
17/05/2017;7,33;;;;8,5
11/05/2018;6,21;0,4533;;;8,38
08/02/2018;5,6667;4,4633;;;8,0467
02/08/2018;5,58;0,76;;;8,25
30/10/2018;5,9;0,45;;;
15/02/2017;5,12;3,74;;;8,28
20/02/2006;6,88;0,33;;0,96;5,41
07/08/2006;5,47;0,15;;1,1;6,39
28/02/2008;5,4;0,5;;0,86;4,58
16/06/2009;5,36;0,42;;0,1;6,1
27/08/2009;5,5;0,34;;0,1;5,9
19/08/2010;5,1;0,48;;0,24;9,9
23/03/2012;7,5;19,7;0,005;;8,6
06/05/2013;6,3;44;0,0033;;7,3
12/04/2010;6,2;17,7;0,007;;7,6
15/08/2013;6,5;42,7;0,0027;;
29/09/2009;6,8;2,8;6;;7
15/08/2011;7,68;2,74;5;;8,59
17/07/2018;6,3;1,5;;;7,9
03/07/2012;9,5;6,2;0,004;;9
14/11/2014;6,6;13,1;;;7,31
03/07/2009;6,2;2,35;6;;7,4
08/10/2012;9,3;2,48;0,005;;8,4
08/11/2011;7,4;9,3;0,006;;6,2
06/12/2012;9,6;35,6;0,007;;35,6
14/04/2014;6,2;22,4;;;7,5
22/10/2010;5,45;13,3;0,006;;8,27
22/07/2017;6,4;;2,9;;9,2
15/11/2013;7,2;1,7;0;;8
18/06/2005;9,7;;26,4;;10
28/01/2003;5,73;;5,1;;6,75
14/04/2003;;;4,9;;4,4
30/08/2003;5,95;;6,2;;
29/10/2002;6,44;;5,48;;
06/08/2010;7,38;2,28;4;;5,95
22/03/2011;6,9;30,1;5;;
12/11/2016;7,4;1,2;0;;6,37
18/10/2018;;29,7;;;7,9
14/02/2019;6,36;5,89;;;7,38
09/05/2018;6,98;2,6833;;;7,9133
06/02/2018;6,3633;42,1833;;;7,5967
31/10/2018;6,54;9,83;;;
01/08/2018;6,44;1,56;;;7,98
15/05/2017;7,3;;;;8,17
14/02/2017;6,08;48,08;;;7,71
21/10/2010;5,91;5,52;0,006;;8,09
30/09/2009;6,7;2,48;6;;6,8
18/07/2018;6,4;1,7;;;7,9
16/08/2013;6,6;41,6;0,0028;;
16/08/2011;8,2;0,99;0,005;;8,3
07/12/2012;9,3;23,7;0,007;;6,8
14/11/2014;6,29;23,9;;;7,89
20/06/2005;9,9;;26,2;;10
29/01/2003;6,6;;5,6;;6
15/04/2003;7,7;;6,6;;4,3
31/08/2003;3,12;;21,1;;
28/10/2002;6,29;;5,78;;
01/07/2012;8,4;3,74;0,005;;9
26/03/2012;7,8;12,8;0,005;;8,8
07/05/2013;6,4;44,3;0,0034;;7,3
09/11/2011;7,5;34,1;0,007;;6,6
14/11/2016;7,42;1,5;0;;6,59
23/03/2011;6,8;22;5;;
05/08/2010;8,15;2,14;4;;5,93
13/04/2010;6,3;15,8;0,007;;7,4
06/10/2012;9,4;3;0,005;;8,2
04/07/2009;6,2;2,76;6;;7,5
15/04/2014;6,9;25,5;;;7,5
25/07/2017;6,4;;3;;9,1
16/11/2013;6,8;0;0;;7,9
19/10/2018;;29,7;;;7,9
15/02/2019;6,37;39,05;;;7,28
15/05/2017;6,46;;;;8,18
13/02/2017;6,43;165,49001;;;6,93
07/02/2018;6,95;122,3167;;;7,4667
09/05/2018;7,19;10,28;;;7,74
01/08/2018;6,71;2,37;;;7,93
29/10/2018;6,55;29,63;;;
02/10/2009;7,2;18,4;13;;7,1
09/07/2009;6,7;5,08;13;;7,6
24/06/2005;9,7;;26,8;;10
31/01/2003;6,55;;9,9;;5,8
16/04/2003;7,45;;9,8;;4,8
28/08/2003;5,69;;12,1;;
25/10/2002;6,99;;7,23;;
03/09/2008;5,53;;6;;
15/06/2002;5,93;;73,4;;3,8
24/10/2002;6,3;;28,9;;
23/06/2005;9,8;;26,6;;10,3
31/01/2003;6,63;;26,6;;5,7
17/04/2003;7,5;;28,6;;4,1
27/08/2003;6,04;;29,1;;
09/04/2002;5,7;;98,7;;4,3
28/11/2003;5,9;;26,9;;
11/11/2011;7,7;45,6;0,01;;6,8
25/03/2011;6,5;104;8;;
03/07/2007;6,9;;6;;7,1
26/10/2007;6;;7;;7,1
28/05/2008;6,6;;8;;
26/07/2017;6,5;;4,5;;9
08/07/2009;6,6;4,78;9;;7,6
25/10/2010;5,57;105;0,009;;7,69
18/08/2013;6,8;41,2;0,0044;;
08/12/2012;8,3;82,4;0,01;;0,01
03/10/2009;7;4,62;8;;7,2
19/07/2018;6,9;2,4;;;7,9
09/05/2013;6,5;48,5;0,0072;;7,3
15/01/2010;6,6;18,4;0,012;;7,3
13/08/2011;7,6;5,5;0,007;;8,7
05/07/2012;10,9;6,21;0,007;;8,9
19/11/2014;6,46;143,39999;;;7,02
17/04/2014;6,6;21,7;;;7,3
22/10/2018;;30;;;7,9
09/08/2010;6,19;3,87;5;;8,72
17/11/2016;7,43;54,5;0,3;;6,3
01/12/2008;6,3;;12;;8,3
22/03/2012;8,1;58,7;0,009;;8,8
10/10/2012;8,1;3,28;0,006;;8,2
18/11/2013;7,1;5,7;;;7,8
07/03/2017;6,93;42,01;;;7,45
08/06/2017;7,57;;;;8,5
28/08/2018;6,76;2,43;;;7,56
27/11/2018;6,08;181,42;;;
08/03/2018;6,1833;47,5833;;;7,0067
07/06/2018;6,6567;3,62;;;7,8567
22/09/2010;7,59;4,66;;0,21;7,1
02/03/2017;7,5;20,83;;;7,46
06/06/2017;7,8;;;;8,23
30/08/2018;7,69;3,01;;;7,48
29/11/2018;7,53;18,13;;;
06/06/2018;7,68;3,0067;;;7,9333
07/03/2018;7,0433;14,74;;;6,33
09/12/2004;6,9;;29,9;;7,9
21/06/2005;7,63;;121,2;;4,9
12/12/2002;5,59;;67,6;;0,5
07/04/2003;6,8;;37;;6,6
10/09/2003;7,2;;45,1;;7,6
28/11/2003;6,9;;40,8;;7,6
17/09/2002;7,3;;69;;6,4
16/09/2004;7,1;;28;;7,2
22/05/2008;;;42,1;;7,6
28/07/2010;7,59;4,25;0,045;;4,07
06/07/2017;8,5;;42;;7,34
17/04/2017;6,75;30,4;21,6;;8
10/04/2015;6,67;42,4;36,2;;
23/10/2010;7,51;20;0,066;;6,91
17/04/2017;6,75;30,4;21,6;;8
07/07/2018;7,72;0,7;;;7,88
19/06/2012;7,03;5,1;0,055;;6,59
15/08/2013;7,18;3;0,058;;7,74
06/05/2013;7,04;6,21;0,047;;7,15
26/09/2009;7,12;6,21;38;;6,73
30/07/2011;8,04;4,36;0,065;;7,93
21/11/2014;;13,6;;;
04/11/2011;7,5;21,5;0,061;;7,3
08/04/2011;7,29;14,8;41;;4,81
15/11/2013;8,08;8,37;0,069;;7,91
15/10/2018;7,29;2,92;;;7,88
19/08/2014;8,96;;0,068;;7,26
20/03/2012;7,05;34,5;0,044;;6,37
11/08/2016;7,74;0,7;59,3;;7,98
14/11/2016;7,5;0;57,1;;6,49
08/12/2012;8,17;36;0,066;;7,3
12/04/2014;6,89;23,2;0,037;;6,15
20/06/2009;6,89;;24;;7,51
18/09/2012;7,75;4,06;0,075;;6,47
24/01/2018;7,7;13;57;;5,6
17/05/2006;6,77;4,25;;0,46;6,39
28/11/2006;7,45;5,26;;1,49;5,93
05/03/2009;6,62;6,39;;7;7,8
04/11/2009;6,3;11,1;;1,2;7,5
01/12/2010;7,03;14,2;;0,5;6,1
28/11/2006;0;2,29;;2,7;7,55
11/05/2008;7,29;3,98;;0,45;6,69
03/12/2009;7,48;4,66;;0,3;5,7
01/12/2010;7,6;17,4;;0,3;7,1
10/12/2004;6,6;;26,4;;7,3
20/06/2005;6,2;;14,7;;4,5
13/12/2002;5,96;;11,61;;1,1
08/04/2003;6,4;;10;;6,7
11/09/2003;6,6;;8;;7,1
29/11/2003;6,6;;9;;7,3
18/09/2002;6,6;;10,4;;6,5
20/09/2004;6,8;;26,2;;6,8
18/04/2017;6,37;28,6;11;;7,4
25/10/2010;6,01;7,87;0,011;;6,41
21/03/2012;5,6;42,7;0,01;;7,05
30/07/2010;6,69;1,96;0,007;;5,05
18/04/2017;6,37;28,6;11;;7,4
08/07/2017;7,41;;8;;7,84
11/04/2015;5,91;48,1;10,1;;
18/08/2013;5,34;6,08;0,009;;7,14
10/07/2018;6,61;2,06;;;7,84
26/09/2009;6,2;8,74;8;;6,46
21/06/2012;5,23;6,51;0,009;;6,82
07/05/2013;5,77;11,8;0,011;;7,43
22/11/2014;;24,6;;;
12/08/2016;6,57;4,5;8,1;;7,85
15/11/2016;6,7;;9,3;;6,24
20/09/2012;5,96;4,88;0,009;;6,77
15/04/2014;6,2;16,3;0,012;;7,44
20/08/2014;7,4;4,44;0,01;;7,75
25/01/2018;6,5;30,5;12;;6,2
11/12/2012;6,54;62,5;0,013;;7,66
16/11/2013;5,68;19,7;0,01;;6,52
16/10/2018;6,17;6,97;;;7,55
10/04/2011;6,89;106;8;;4,98
05/11/2011;5,7;19;0,01;;6,92
02/08/2011;6,67;6,6;0,008;;7,58
06/06/2018;6,1433;4,85;;;7,93
07/03/2018;6,08;16,79;;;7,0133
30/08/2018;6,48;3,06;;;7,6
27/11/2018;6,32;32,34;;;
25/05/2009;5,16;0,47;;1,9;7,3
16/09/2009;5,93;0,69;;0,4;6,4
26/10/2010;4,88;0,9;;0,1;4,7
24/08/2010;7,57;1,46;;0,2;10,6
24/11/2011;7,3;6,18;;0,42;3,2
22/03/2012;5,61;24,9;0,01;;6,79
12/12/2012;6,37;6,37;0,012;;8,07
02/08/2010;6,64;4,98;0,005;;5,66
16/04/2014;6,08;3,59;0,01;;7,21
15/04/2011;5,85;9,46;18;;6,51
21/09/2012;5,7;4,23;0,007;;6,94
19/11/2013;6,41;5,96;0,01;;5,75
07/12/2004;6,4;;26,1;;7,3
23/06/2005;6,2;;12,3;;4,9
09/12/2002;6,4;;8,9;;1,4
11/04/2003;6,5;;10;;6,8
16/09/2003;6,7;;6,2;;7,5
03/12/2003;6,6;;7,2;;7,4
19/09/2002;6,5;;7,2;;5,5
24/09/2004;7,1;;26,3;;7,4
27/10/2010;5,89;4,97;0,01;;7,2
20/08/2013;5,35;4,9;0,006;;6,51
08/05/2013;5,57;5,53;0,008;;7,78
04/08/2011;6,52;5,96;0,006;;7,84
22/06/2012;5;5,72;0,007;;7,04
24/09/2009;6,16;5,34;6;;6,94
26/06/2009;6,25;;10;;8,02
08/11/2011;5,6;10,5;0,01;;7,44
24/11/2014;;10,7;;;
21/08/2014;;3,95;;;
06/03/2018;5,83;4,15;;;5,57
05/06/2018;6,0267;6,23;;;7,74
28/11/2018;5,75;12,33;;;
29/08/2018;5,95;4,02;;;7,87
06/12/2004;3,1;;28,1;;8,6
24/06/2005;6,35;;20;;4,7
07/12/2002;5,91;;16,35;;0,5
10/04/2003;6,7;;15;;6,4
15/09/2003;6,7;;9,5;;8,3
02/12/2003;6,6;;10,8;;7,2
20/09/2002;6,8;;12;;6,5
23/09/2004;6,6;;27,2;;7,1
11/07/2018;6,49;5,62;;;7,87
25/06/2009;6,27;;11;;8,25
20/04/2017;6,37;75,2;13,7;;7,54
10/07/2017;7,48;;10;;7,7
14/04/2015;6,3;;16,9;;
26/10/2010;6,17;238;0,018;;6,54
20/04/2017;6,37;75,2;13,7;;7,54
19/08/2013;5,6;10,3;0,011;;7,04
09/05/2013;5,9;31,1;0,014;;7,47
25/11/2014;;31,7;;;
13/12/2012;6,92;306;0,02;;7,18
02/08/2010;6,81;7,72;0,009;;5,85
23/03/2012;6,17;87,9;0,017;;6,74
17/04/2014;6,57;105;0,018;;6,35
17/10/2018;6,17;63,9;;;7,71
05/08/2011;6,83;12,5;0,01;;7,29
23/06/2012;5,44;17,4;0,011;;6,85
17/11/2016;6,4;;10,9;;6,45
22/08/2014;;10,9;;;
09/11/2011;6,01;24,1;0,012;;7,38
12/04/2011;6,99;62,3;16;;6,08
26/01/2018;6,7;438;15;;6
22/09/2012;6,2;7,73;0,011;;6,61
18/11/2013;6,4;60;0,014;;6,18
23/09/2009;6,37;24;9;;6,83
15/08/2016;6,38;5,3;9,6;;7,88
08/12/2004;6,3;;27,7;;8,2
25/06/2005;6,35;;18,5;;4,6
06/12/2002;5,94;;12,22;;1,9
23/09/2002;6,7;;11,9;;6,4
12/04/2003;6,6;;13;;6,6
12/09/2003;6,6;;8,6;;7,3
01/12/2003;6,3;;8,8;;7,3
22/09/2004;6,6;;28;;7
22/04/2017;6,31;63,7;11,1;;6,84
22/04/2017;6,31;63,7;11,1;;6,84
31/07/2010;6,86;6,94;0,008;;5,49
12/07/2017;7,43;;9;;7,49
12/07/2018;6,3;4,3;;;7,77
21/08/2013;5,65;8,28;0,01;;5,29
25/06/2012;5,46;10,9;0,01;;6,72
19/11/2016;6,32;;9,9;;6,49
16/08/2016;6,7;7,5;8,7;;8,11
14/12/2012;6,71;24,4;0,015;;7,53
28/10/2010;6,21;27,1;0,018;;6,43
15/04/2015;6,29;;16,7;;
19/04/2014;6,56;26,3;0,015;;7,33
25/09/2009;6,26;11,1;8;;6,7
03/08/2011;6,91;9,56;0,009;;7,68
10/05/2013;5,89;32,4;0,012;;7,57
26/11/2014;;18,6;;;
24/03/2012;6,05;47,8;0,013;;7,01
23/08/2014;;7,3;;;
29/01/2018;7;84,7;11;;6,8
07/11/2011;5,76;38,8;0,012;;7,47
13/04/2011;6,9;49,8;27;;5,72
24/09/2012;6,13;6,7;0,01;;6,7
20/11/2013;6,15;27;0,012;;6,07
23/06/2009;6,28;;10;;8,01
20/10/2018;5,29;136,67999;;;7,54
05/06/2017;7,46;;;;8,36
02/03/2017;6,77;60,49;;;7,43
05/06/2018;6,7033;9,06;;;8,0867
06/03/2018;6,54;51,15;;;6,9833
28/11/2018;6,11;209,59;;;
29/08/2018;6,76;4,62;;;7,7
04/08/2010;6,63;3,08;0,008;;5,18
21/04/2017;6,57;30;26;;7
11/07/2017;7,26;;8;;7,73
27/06/2005;6,08;;25,6;;4,4
26/06/2012;5,14;7,83;0,011;;7,04
21/04/2017;6,57;30;26;;7
13/07/2018;6,17;1,7;;;7,49
22/08/2013;5,13;6,99;0,008;;5,2
22/09/2009;5,85;6,61;8;;6,62
06/08/2011;6,39;8,98;0,008;;7,23
11/05/2013;6,12;27,8;0,032;;7,5
30/10/2010;5,72;9,52;0,01;;7
26/03/2012;6,84;21,1;0,052;;7,55
17/08/2016;6,14;2,9;8,3;;7,47
18/11/2016;;;11,1;;6,12
25/09/2012;5,75;8,18;0,01;;7,05
27/11/2014;;22,6;;;
18/04/2011;7,11;15,4;34;;7,1
25/08/2014;;5,6;;;
30/01/2018;7,2;31,9;56;;6,2
10/11/2011;6,21;88,4;0,026;;6,44
20/04/2014;6,91;14,3;0,042;;6,85
18/10/2018;5,97;5,9;;;7,58
15/12/2012;7,42;136;0,041;;7,36
21/11/2013;6,7;10,1;0,011;;5,53
27/06/2009;6,46;;11;;7,88
29/08/2008;7,46;;33,2;;7,7
05/12/2002;5,6;;27,6;;1,3
27/08/2002;5,72;;26,8;;
21/10/2000;7,2;;29,8;;
30/04/2002;6,7;;19,7;;2,8
08/03/2003;6,14;;27,9;;5,8
28/06/2003;5,61;;56,9;;2,7
05/12/2003;6,9;;29,5;;6,9
21/10/2003;5,6;;29,5;;4,6
29/10/2010;7,43;20,2;0,055;;7,04
03/12/2008;6,45;;27,5;;6,8
05/08/2010;7,65;5,07;3,02;;3,02
29/06/2009;6,87;;25;;7,98
21/09/2009;7,18;6,06;30;;6,87
26/05/2008;4,82;;51;;8,4
27/08/2008;6,98;;27;;8,7
10/12/2008;7,3;;34,8;;8,69
12/07/2005;6,66;;29,5;;
31/07/2006;7,12;;32,15;;8
17/11/2002;6,8;;29,1;;7,8
20/08/2002;6,65;;61,7;;7,5
16/07/2004;6,6;;32,9;;
06/11/2004;6,42;;31,9;;
16/07/2010;7,54;5,72;31;;6,65
10/04/2010;7,65;75,8;0,042;;6,04
24/05/2009;7;;80;;8,28
08/11/2005;7,35;;24,4;;
12/07/2005;6,66;;29,5;;
01/09/2009;7,71;3,44;37;;6,71
21/11/2009;7,54;4,3;35;;3,63
27/10/2010;7,64;6,14;27;;7,9
24/11/1977;;;;;2,5
30/04/1978;;;;;2
28/06/1978;7,5;;54;;5,8
29/08/1978;;;55;;
23/12/1978;;;40;;8,2
26/05/1979;6,4;;67,3;;9,4
26/05/1979;6;;72;;9,3
29/07/1976;;;45;;
06/09/1976;7,1;;50;;
27/04/1977;7,8;;40;;
24/05/1977;7,5;;;;
27/06/1977;8,2;;55;;
11/02/2011;7,5;56,2;0,102;;6,5
13/08/2009;7,4;6,42;144;;5,6
12/11/2009;7,3;8,27;126;;6,3
16/02/2017;6,98;27,3;62,4;;
19/04/2007;7,5;;103;;4,9
23/08/2018;7,5;5;;;6,24
15/08/2017;7,46;6,92;125,2;;
16/06/2015;8,18;;93,4;;5,39
23/04/2012;7,53;16;117,6;;6,39
06/06/2013;7,43;19,8;102,2;;6,56
23/02/2015;8,09;;;;6,44
15/05/2010;7,32;15;123,7;;
07/03/2013;7,45;12,8;120,8;;6,41
13/06/2014;7,47;9,78;124,5;;6,47
11/02/2010;;50;;;
02/08/2012;7,66;6,29;112,7;;6,78
10/10/2013;7,57;6,3;121,8;;6,24
16/05/2018;7,54;7,54;;;6,31
03/02/2012;7,26;54,3;88,2;;6,47
13/02/2014;7,48;46;100,1;;6,45
20/09/2011;8,4;9;0,144;;6,7
13/08/2009;7,4;6,42;144;;5,6
07/09/2010;7,4;10,9;131;;
28/09/2015;8;0,295;101,9;;5,1
25/10/2012;7,31;9,07;111;;5,02
16/05/2017;7,46;15,8;114,6;;
15/05/2011;7,33;17,3;138;;5
12/11/2018;7,49;8,5;;;5,15
11/07/2005;7,17;;119,2;;
01/08/2006;7,48;;142,03;;8
18/11/2002;7,2;;90,7;;7
19/08/2002;7,3;;124,6;;7
17/07/2004;7,24;;126,7;;
07/11/2004;7;;92,3;;
07/11/2005;7,14;;93,2;;
24/03/2012;6,75;77,5;157,7;;7,14
12/05/2017;7,45;8,57;9,1;;7,22
30/06/2012;6,54;9,36;167,39999;;7,32
29/03/2017;7,04;0;91;;6,38
30/07/2015;6,64;3,86;25,5;;6,2
31/08/2009;8,16;6,4;130;;5,88
04/07/2013;8,42;13,2;208,5;;7,71
07/10/2014;7,44;7,06;125,3;;7,74
09/04/2013;7,6;66,4;137;;7,12
28/09/2012;7,25;19,8;150,3;;7,35
01/08/2016;7,07;5,18;139,8;;7,13
09/04/2010;7,68;86,5;0,037;;4,35
17/07/2010;7,33;8,6;129;;5,6
30/03/2016;7,74;9,84;118,1;;6,88
05/09/2018;7,04;3,33;101,5;;6,82
15/03/2018;6,96;196;98,1;;6,72
19/11/2009;7,86;5,41;161;;4,25
06/04/2011;7,4;76,1;54;;6,28
28/09/2011;6,58;8,8;138;;8,28
