Data;pH;Turbidez;CondutividadeEletrica;DBO;OD
12/02/2009;7,77;6,2;;0,6;8,3
18/08/2009;7,77;3,53;;0,1;7,4
24/08/2010;7,74;2,89;;0,1;8,6
03/12/2009;;290;;;
28/03/2017;6,49;169,5;;;6,28
12/08/2015;8,65;0,5;25,34;;
05/09/2009;8,48;13,2;282;;4,13
25/06/2012;8,15;8,44;229;;
08/10/2010;8,3;6,2;27;;8,9
03/10/2018;8,3;5,92;;;8,17
14/10/2013;8,24;24;221,3;;8,21
26/07/2018;8,32;3,72;;;8,43
26/03/2015;8,35;2,1;168,60001;;7,52
21/10/2016;8,17;42,6;26,4;;5,86
16/07/2013;;39;129,8;;0
15/04/2013;7,79;530;91,2;;97,2
10/05/2018;8,03;6,25;;;92,6
14/11/2011;8,5;11,2;23;;
04/10/2012;;6,03;255;;
05/12/2012;;154;;;
22/03/2014;7,4;349,29999;105,8;;
08/07/2010;7,9;3,37;224;;
24/03/2012;7,37;275;140;;
03/12/2009;;290;;;
05/11/2015;8;1,6;22,8;;6,61
23/06/2017;8,48;124;28,83;;
23/11/2018;8,22;69,02;;;8,34
21/05/2008;7,79;;136;;5,45
30/09/2008;7,72;;150;;0,82
10/08/2007;7,92;;157,8;;6,8
19/06/2017;7,27;11,7;166,89999;;
01/04/2015;8,43;;124,6;;6,7
27/03/2017;7,24;;;;7,06
12/07/2018;7,73;7,46;;;7,96
21/03/2012;7,51;31,4;103;;
12/10/2016;7,61;0;175,10001;;6,19
26/06/2009;7,78;29,7;132;;7,63
08/10/2012;;12,9;146;;
03/12/2012;7,1;76,7;102;;
16/11/2011;7,4;33,2;119;;
21/07/2016;7,08;;148,7;;7,12
29/07/2011;8,03;14,9;144;;10,6
28/06/2012;7,87;53,5;131;;
10/10/2013;7,89;13,8;160,89999;;6,86
15/09/2017;;10;;;
30/11/2010;7,7;102;0,101;;5,43
25/10/2014;5,99;;166,2;;6,61
03/10/2009;7,8;24,1;145;;7,3
16/07/2013;8,25;7,48;159,3;;8
11/04/2013;7,15;35,2;109;;5,64
30/03/2016;6,35;;123;;6,34
03/11/2015;7,48;;156,7;;6,49
06/08/2015;7,85;;146,3;;7,53
30/08/2010;7,35;23,5;0,139;;6,16
24/03/2014;8,05;29,5;132;;6,63
31/10/2018;7,78;17,22;;;6,53
09/12/2008;7,51;;109;;4,25
04/02/2019;8,34;32,05;;;7,06
19/03/2012;7,5;216;66;;
04/11/2015;7,57;;44,8;;7,6
27/06/2009;7,53;29,7;72;;7,74
07/08/2015;8,46;;53,3;;8,46
20/06/2017;8,2;9,26;22,1;;
27/03/2017;7;;;;7,69
11/10/2013;8,12;6,8;45,2;;7,61
11/07/2018;7,73;3,52;;;8,09
01/04/2015;8,16;;65,2;;7,68
31/08/2010;7,31;7,25;0,042;;7,8
24/10/2014;7,27;;45,1;;7,33
26/09/2017;;6,25;;;
17/11/2011;7,62;38,5;49;;
15/07/2013;7,57;6,72;68;;8,08
25/03/2014;7,77;249;62,4;;7,66
01/08/2011;7,57;6,5;63;;11,25
13/10/2016;7,17;0;44,5;;7,48
01/12/2012;7,5;357;55;;
05/10/2009;7,4;26,5;52;;7,8
27/06/2012;7,62;12,6;54;;
10/04/2013;7,34;985;66,5;;7,24
31/03/2016;6,75;;51,2;;7,42
01/11/2018;7,53;697,83002;;;7,53
27/11/2010;7,8;63,8;0,049;;7,24
09/10/2012;;7,88;45;;
22/07/2016;7,75;;42,6;;7,94
01/09/2010;7,42;12,5;0,086;;6,81
05/08/2015;7,81;;101,7;;7,95
13/07/2013;7,56;3,66;123,1;;8,02
06/10/2009;7,8;10,3;101;;8,7
25/03/2017;7,65;;;;7,06
02/10/2008;7,45;;94;;5,06
29/09/2018;7,7;;;;6,6
22/10/2014;7,95;;106,5;;6,72
28/11/2017;;249;;;
02/08/2011;8,22;15,9;96;;13,39
01/07/2012;7,74;12,1;102;;
09/04/2013;6,98;80;103,7;;6,37
20/03/2012;7,56;107;;;
31/03/2015;8,42;;98,3;;7,13
14/09/2017;;10;;;
14/06/2018;8,03;5,1;123;;7,74
21/11/2011;7,56;82,2;28;;
20/07/2016;7,43;;91,6;;7,57
10/10/2013;7,72;26,9;105,7;;7,15
30/10/2012;7,01;193;107;;
10/10/2016;7,64;0;;;7,6
29/06/2009;7,96;13,3;126;;8,24
05/04/2016;7,13;;102,3;;7,62
02/11/2015;7,23;;100,7;;7,28
26/11/2010;7,9;262;0,097;;6,52
25/03/2014;7,94;393;115,6;;7,14
08/12/2018;8,62;65,3;;;5,94
06/12/2008;7,83;;98;;3,34
01/02/2019;7,88;7,88;;;7,14
23/03/2017;7,46;;;;7,48
05/08/2011;7,57;7,92;61;;11,4
04/09/2010;7,35;9,93;0,042;;8,14
08/10/2009;7,5;21,3;71;;7,7
30/03/2015;8,83;;146,8;;7,5
28/11/2017;;92,5;;;
02/07/2012;;8,44;64;;
09/10/2013;7,61;4,82;62,1;;7,43
21/10/2014;7,47;;53,3;;7,39
13/09/2017;;7,66;;;
15/10/2016;7,38;0;36,7;;7,62
08/04/2013;7,28;60,6;123,3;;7,06
01/07/2009;7,61;14,4;70;;8,88
29/11/2012;7,92;156;85,4;;
