,tecnica,parametro,amostras,mape,lag
121,Random Forest,Fósforo Total,207,26.53,4
122,MLP,Fósforo Total,207,25.49,4
123,LSTM,Fósforo Total,207,25.51,4
124,Regressão Linear,Fósforo Total,207,25.71,5
125,Random Forest,Fósforo Total,207,25.54,5
126,MLP,Fósforo Total,207,25.56,5
127,LSTM,Fósforo Total,207,25.56,5
128,Regressão Linear,Fósforo Total,207,25.67,6
129,Random Forest,Fósforo Total,207,28.11,6
130,MLP,Fósforo Total,207,25.52,6
131,LSTM,Fósforo Total,207,25.49,6
132,Regressão Linear,Fósforo Total,207,25.56,7
133,Random Forest,Fósforo Total,207,24.81,7
134,MLP,Fósforo Total,207,25.54,7
135,LSTM,Fósforo Total,207,25.53,7
136,Regressão Linear,Fósforo Total,207,25.38,8
137,Random Forest,Fósforo Total,207,28.37,8
138,MLP,Fósforo Total,207,25.2,8
139,LSTM,Fósforo Total,207,25.33,8
140,Regressão Linear,Fósforo Total,207,26.33,9
141,Random Forest,Fósforo Total,207,27.32,9
142,MLP,Fósforo Total,207,26.04,9
143,LSTM,Fósforo Total,207,25.99,9
144,Regressão Linear,Sólido Total,207,12.82,1
145,Random Forest,Sólido Total,207,4.12,1
146,MLP,Sólido Total,207,13.9,1
147,LSTM,Sólido Total,207,18.98,1
148,Regressão Linear,Sólido Total,207,15.29,2
149,Random Forest,Sólido Total,207,3.76,2
150,MLP,Sólido Total,207,16.15,2
151,LSTM,Sólido Total,207,19.41,2
152,Regressão Linear,Sólido Total,207,14.62,3
153,Random Forest,Sólido Total,207,5.06,3
154,MLP,Sólido Total,207,15.79,3
155,LSTM,Sólido Total,207,20.78,3
156,Regressão Linear,Sólido Total,207,15.54,4
157,Random Forest,Sólido Total,207,3.85,4
158,MLP,Sólido Total,207,14.46,4
159,LSTM,Sólido Total,207,20.38,4
160,Regressão Linear,Sólido Total,207,15.23,5
161,Random Forest,Sólido Total,207,4.03,5
162,MLP,Sólido Total,207,16.26,5
163,LSTM,Sólido Total,207,19.98,5
164,Regressão Linear,Sólido Total,207,12.83,6
165,Random Forest,Sólido Total,207,2.41,6
166,MLP,Sólido Total,207,15.17,6
167,LSTM,Sólido Total,207,19.26,6
168,Regressão Linear,Sólido Total,207,14.61,7
169,Random Forest,Sólido Total,207,4.4,7
170,MLP,Sólido Total,207,15.93,7
171,LSTM,Sólido Total,207,20.76,7
172,Regressão Linear,Sólido Total,207,15.75,8
173,Random Forest,Sólido Total,207,4.62,8
174,MLP,Sólido Total,207,15.5,8
175,LSTM,Sólido Total,207,20.75,8
176,Regressão Linear,Sólido Total,207,15.31,9
177,Random Forest,Sólido Total,207,5.53,9
178,MLP,Sólido Total,207,18.12,9
179,LSTM,Sólido Total,207,19.48,9
180,Regressão Linear,"DBO (5, 20)",205,21.93,1
181,Random Forest,"DBO (5, 20)",205,9.06,1
182,MLP,"DBO (5, 20)",205,6.42,1
183,LSTM,"DBO (5, 20)",205,13.44,1
184,Regressão Linear,"DBO (5, 20)",205,21.93,2
185,Random Forest,"DBO (5, 20)",205,7.0,2
186,MLP,"DBO (5, 20)",205,5.76,2
187,LSTM,"DBO (5, 20)",205,14.23,2
188,Regressão Linear,"DBO (5, 20)",205,21.32,3
189,Random Forest,"DBO (5, 20)",205,8.97,3
190,MLP,"DBO (5, 20)",205,6.12,3
191,LSTM,"DBO (5, 20)",205,12.99,3
192,Regressão Linear,"DBO (5, 20)",205,20.93,4
193,Random Forest,"DBO (5, 20)",205,13.22,4
194,MLP,"DBO (5, 20)",205,6.19,4
195,LSTM,"DBO (5, 20)",205,13.36,4
196,Regressão Linear,"DBO (5, 20)",205,19.61,5
197,Random Forest,"DBO (5, 20)",205,7.55,5
198,MLP,"DBO (5, 20)",205,4.85,5
199,LSTM,"DBO (5, 20)",205,14.57,5
200,Regressão Linear,"DBO (5, 20)",205,20.4,6
201,Random Forest,"DBO (5, 20)",205,10.1,6
202,MLP,"DBO (5, 20)",205,4.93,6
203,LSTM,"DBO (5, 20)",205,12.87,6
204,Regressão Linear,"DBO (5, 20)",205,19.77,7
205,Random Forest,"DBO (5, 20)",205,11.29,7
206,MLP,"DBO (5, 20)",205,6.75,7
207,LSTM,"DBO (5, 20)",205,13.57,7
208,Regressão Linear,"DBO (5, 20)",205,20.21,8
209,Random Forest,"DBO (5, 20)",205,17.1,8
210,MLP,"DBO (5, 20)",205,4.94,8
211,LSTM,"DBO (5, 20)",205,13.95,8
212,Regressão Linear,"DBO (5, 20)",205,19.48,9
213,Random Forest,"DBO (5, 20)",205,8.55,9
214,MLP,"DBO (5, 20)",205,5.16,9
215,LSTM,"DBO (5, 20)",205,15.12,9
216,Regressão Linear,Temperatura da Água,207,2.89,1
217,Random Forest,Temperatura da Água,207,3.6,1
218,MLP,Temperatura da Água,207,2.75,1
219,LSTM,Temperatura da Água,207,2.76,1
220,Regressão Linear,Temperatura da Água,207,2.79,2
221,Random Forest,Temperatura da Água,207,3.34,2
222,MLP,Temperatura da Água,207,2.78,2
223,LSTM,Temperatura da Água,207,2.75,2
224,Regressão Linear,Temperatura da Água,207,3.01,3
225,Random Forest,Temperatura da Água,207,3.06,3
226,MLP,Temperatura da Água,207,2.89,3
227,LSTM,Temperatura da Água,207,2.76,3
228,Regressão Linear,Temperatura da Água,207,2.68,4
229,Random Forest,Temperatura da Água,207,3.32,4
230,MLP,Temperatura da Água,207,2.6,4
231,LSTM,Temperatura da Água,207,2.61,4
232,Regressão Linear,Temperatura da Água,207,2.64,5
233,Random Forest,Temperatura da Água,207,3.13,5
