,tecnica,parametro,amostras,mape,lag
104,Regressão Linear,Turbidez,176,38.73,9
105,Random Forest,Turbidez,176,42.26,9
106,MLP,Turbidez,176,39.7,9
107,LSTM,Turbidez,176,39.5,9
108,Regressão Linear,Fósforo Total,192,17.79,1
109,Random Forest,Fósforo Total,192,19.25,1
110,MLP,Fósforo Total,192,17.31,1
111,LSTM,Fósforo Total,192,17.23,1
112,Regressão Linear,Fósforo Total,192,17.33,2
113,Random Forest,Fósforo Total,192,17.68,2
114,MLP,Fósforo Total,192,16.92,2
115,LSTM,Fósforo Total,192,17.1,2
116,Regressão Linear,Fósforo Total,192,17.17,3
117,Random Forest,Fósforo Total,192,21.88,3
118,MLP,Fósforo Total,192,17.19,3
119,LSTM,Fósforo Total,192,16.97,3
120,Regressão Linear,Fósforo Total,192,17.21,4
121,Random Forest,Fósforo Total,192,17.73,4
122,MLP,Fósforo Total,192,16.98,4
123,LSTM,Fósforo Total,192,16.78,4
124,Regressão Linear,Fósforo Total,192,16.78,5
125,Random Forest,Fósforo Total,192,18.35,5
126,MLP,Fósforo Total,192,16.8,5
127,LSTM,Fósforo Total,192,16.8,5
128,Regressão Linear,Fósforo Total,192,17.06,6
129,Random Forest,Fósforo Total,192,17.41,6
130,MLP,Fósforo Total,192,16.77,6
131,LSTM,Fósforo Total,192,17.06,6
132,Regressão Linear,Fósforo Total,192,17.61,7
133,Random Forest,Fósforo Total,192,18.63,7
134,MLP,Fósforo Total,192,17.07,7
135,LSTM,Fósforo Total,192,17.07,7
136,Regressão Linear,Fósforo Total,192,16.89,8
137,Random Forest,Fósforo Total,192,19.2,8
138,MLP,Fósforo Total,192,17.57,8
139,LSTM,Fósforo Total,192,17.2,8
140,Regressão Linear,Fósforo Total,192,16.43,9
141,Random Forest,Fósforo Total,192,19.17,9
142,MLP,Fósforo Total,192,17.05,9
143,LSTM,Fósforo Total,192,16.59,9
144,Regressão Linear,Sólido Total,197,9.81,1
145,Random Forest,Sólido Total,197,2.87,1
146,MLP,Sólido Total,197,12.99,1
147,LSTM,Sólido Total,197,12.74,1
148,Regressão Linear,Sólido Total,197,12.15,2
149,Random Forest,Sólido Total,197,3.4,2
150,MLP,Sólido Total,197,13.19,2
151,LSTM,Sólido Total,197,12.83,2
152,Regressão Linear,Sólido Total,197,13.17,3
153,Random Forest,Sólido Total,197,12.65,3
154,MLP,Sólido Total,197,13.44,3
155,LSTM,Sólido Total,197,13.35,3
156,Regressão Linear,Sólido Total,197,10.06,4
157,Random Forest,Sólido Total,197,7.64,4
158,MLP,Sólido Total,197,11.19,4
159,LSTM,Sólido Total,197,11.38,4
160,Regressão Linear,Sólido Total,197,8.28,5
161,Random Forest,Sólido Total,197,8.11,5
162,MLP,Sólido Total,197,10.22,5
163,LSTM,Sólido Total,197,12.17,5
164,Regressão Linear,Sólido Total,197,10.17,6
165,Random Forest,Sólido Total,197,11.46,6
166,MLP,Sólido Total,197,12.19,6
167,LSTM,Sólido Total,197,12.26,6
168,Regressão Linear,Sólido Total,197,14.1,7
169,Random Forest,Sólido Total,197,11.16,7
170,MLP,Sólido Total,197,14.04,7
171,LSTM,Sólido Total,197,12.53,7
172,Regressão Linear,Sólido Total,197,11.81,8
173,Random Forest,Sólido Total,197,13.48,8
174,MLP,Sólido Total,197,13.16,8
175,LSTM,Sólido Total,197,12.61,8
176,Regressão Linear,Sólido Total,197,9.95,9
177,Random Forest,Sólido Total,197,4.0,9
178,MLP,Sólido Total,197,12.33,9
179,LSTM,Sólido Total,197,12.39,9
180,Regressão Linear,"DBO (5, 20)",161,8.26,1
181,Random Forest,"DBO (5, 20)",161,2.44,1
182,MLP,"DBO (5, 20)",161,0.36,1
183,LSTM,"DBO (5, 20)",161,1.06,1
184,Regressão Linear,"DBO (5, 20)",161,8.7,2
185,Random Forest,"DBO (5, 20)",161,3.63,2
186,MLP,"DBO (5, 20)",161,0.34,2
187,LSTM,"DBO (5, 20)",161,1.02,2
188,Regressão Linear,"DBO (5, 20)",161,9.26,3
189,Random Forest,"DBO (5, 20)",161,6.74,3
190,MLP,"DBO (5, 20)",161,0.65,3
191,LSTM,"DBO (5, 20)",161,1.11,3
192,Regressão Linear,"DBO (5, 20)",161,8.53,4
193,Random Forest,"DBO (5, 20)",161,3.96,4
194,MLP,"DBO (5, 20)",161,0.33,4
195,LSTM,"DBO (5, 20)",161,1.02,4
196,Regressão Linear,"DBO (5, 20)",161,8.52,5
197,Random Forest,"DBO (5, 20)",161,3.96,5
198,MLP,"DBO (5, 20)",161,0.41,5
199,LSTM,"DBO (5, 20)",161,0.73,5
200,Regressão Linear,"DBO (5, 20)",161,8.48,6
201,Random Forest,"DBO (5, 20)",161,4.58,6
202,MLP,"DBO (5, 20)",161,0.37,6
203,LSTM,"DBO (5, 20)",161,0.93,6
204,Regressão Linear,"DBO (5, 20)",161,9.84,7
205,Random Forest,"DBO (5, 20)",161,7.35,7
206,MLP,"DBO (5, 20)",161,0.28,7
207,LSTM,"DBO (5, 20)",161,1.01,7
208,Regressão Linear,"DBO (5, 20)",161,8.79,8
209,Random Forest,"DBO (5, 20)",161,5.95,8
210,MLP,"DBO (5, 20)",161,0.3,8
211,LSTM,"DBO (5, 20)",161,0.89,8
212,Regressão Linear,"DBO (5, 20)",161,7.68,9
213,Random Forest,"DBO (5, 20)",161,5.42,9
214,MLP,"DBO (5, 20)",161,0.32,9
215,LSTM,"DBO (5, 20)",161,0.91,9
216,Regressão Linear,Temperatura da Água,195,3.21,1
217,Random Forest,Temperatura da Água,195,3.75,1
218,MLP,Temperatura da Água,195,3.2,1
219,LSTM,Temperatura da Água,195,3.21,1
220,Regressão Linear,Temperatura da Água,195,3.07,2
221,Random Forest,Temperatura da Água,195,3.19,2
222,MLP,Temperatura da Água,195,3.12,2
223,LSTM,Temperatura da Água,195,3.13,2
224,Regressão Linear,Temperatura da Água,195,3.2,3
225,Random Forest,Temperatura da Água,195,3.59,3
226,MLP,Temperatura da Água,195,3.18,3
227,LSTM,Temperatura da Água,195,3.18,3
228,Regressão Linear,Temperatura da Água,195,3.19,4
229,Random Forest,Temperatura da Água,195,3.27,4
230,MLP,Temperatura da Água,195,3.19,4
231,LSTM,Temperatura da Água,195,3.18,4
232,Regressão Linear,Temperatura da Água,195,3.19,5
233,Random Forest,Temperatura da Água,195,3.38,5
234,MLP,Temperatura da Água,195,3.19,5
235,LSTM,Temperatura da Água,195,3.18,5
236,Regressão Linear,Temperatura da Água,195,3.19,6
237,Random Forest,Temperatura da Água,195,3.5,6
238,MLP,Temperatura da Água,195,3.26,6
239,LSTM,Temperatura da Água,195,3.25,6
240,Regressão Linear,Temperatura da Água,195,3.21,7
241,Random Forest,Temperatura da Água,195,4.0,7
242,MLP,Temperatura da Água,195,3.25,7
243,LSTM,Temperatura da Água,195,3.24,7
244,Regressão Linear,Temperatura da Água,195,3.18,8
245,Random Forest,Temperatura da Água,195,3.85,8
246,MLP,Temperatura da Água,195,3.17,8
247,LSTM,Temperatura da Água,195,3.2,8
248,Regressão Linear,Temperatura da Água,195,3.24,9
249,Random Forest,Temperatura da Água,195,3.54,9
250,MLP,Temperatura da Água,195,3.23,9
251,LSTM,Temperatura da Água,195,3.25,9
252,Regressão Linear,pH,167,0.99,1
253,Random Forest,pH,167,1.05,1
254,MLP,pH,167,0.86,1
255,LSTM,pH,167,0.89,1
256,Regressão Linear,pH,167,1.0,2
257,Random Forest,pH,167,1.1,2
258,MLP,pH,167,0.86,2
259,LSTM,pH,167,0.89,2
260,Regressão Linear,pH,167,1.01,3
261,Random Forest,pH,167,1.23,3
262,MLP,pH,167,0.86,3
263,LSTM,pH,167,0.89,3
264,Regressão Linear,pH,167,1.02,4
265,Random Forest,pH,167,1.06,4
266,MLP,pH,167,0.88,4
267,LSTM,pH,167,0.92,4
268,Regressão Linear,pH,167,1.0,5
269,Random Forest,pH,167,1.12,5
270,MLP,pH,167,0.89,5
271,LSTM,pH,167,0.9,5
272,Regressão Linear,pH,167,1.0,6
273,Random Forest,pH,167,1.1,6
274,MLP,pH,167,0.89,6
275,LSTM,pH,167,0.9,6
276,Regressão Linear,pH,167,1.01,7
277,Random Forest,pH,167,1.1,7
278,MLP,pH,167,0.88,7
279,LSTM,pH,167,0.89,7
280,Regressão Linear,pH,167,1.03,8
281,Random Forest,pH,167,1.18,8
282,MLP,pH,167,0.88,8
283,LSTM,pH,167,0.91,8
284,Regressão Linear,pH,167,1.04,9
285,Random Forest,pH,167,1.05,9
286,MLP,pH,167,0.88,9
287,LSTM,pH,167,0.92,9
