,tecnica,parametro,amostras,mape,lag
104,Regressão Linear,Turbidez,189,44.45,9
105,Random Forest,Turbidez,189,101.43,9
106,MLP,Turbidez,189,46.97,9
107,LSTM,Turbidez,189,55.25,9
108,Regressão Linear,Fósforo Total,192,15.29,1
109,Random Forest,Fósforo Total,192,15.56,1
110,MLP,Fósforo Total,192,15.19,1
111,LSTM,Fósforo Total,192,15.37,1
112,Regressão Linear,Fósforo Total,192,15.09,2
113,Random Forest,Fósforo Total,192,18.22,2
114,MLP,Fósforo Total,192,15.27,2
115,LSTM,Fósforo Total,192,15.18,2
116,Regressão Linear,Fósforo Total,192,15.22,3
117,Random Forest,Fósforo Total,192,15.91,3
118,MLP,Fósforo Total,192,15.54,3
119,LSTM,Fósforo Total,192,15.46,3
120,Regressão Linear,Fósforo Total,192,15.19,4
121,Random Forest,Fósforo Total,192,16.13,4
122,MLP,Fósforo Total,192,15.24,4
123,LSTM,Fósforo Total,192,15.43,4
124,Regressão Linear,Fósforo Total,192,15.56,5
125,Random Forest,Fósforo Total,192,15.66,5
126,MLP,Fósforo Total,192,15.38,5
127,LSTM,Fósforo Total,192,15.3,5
128,Regressão Linear,Fósforo Total,192,15.79,6
129,Random Forest,Fósforo Total,192,16.98,6
130,MLP,Fósforo Total,192,16.51,6
131,LSTM,Fósforo Total,192,16.01,6
132,Regressão Linear,Fósforo Total,192,14.97,7
133,Random Forest,Fósforo Total,192,16.04,7
134,MLP,Fósforo Total,192,15.57,7
135,LSTM,Fósforo Total,192,16.25,7
136,Regressão Linear,Fósforo Total,192,15.51,8
137,Random Forest,Fósforo Total,192,15.92,8
138,MLP,Fósforo Total,192,15.69,8
139,LSTM,Fósforo Total,192,15.6,8
140,Regressão Linear,Fósforo Total,192,16.21,9
141,Random Forest,Fósforo Total,192,17.56,9
142,MLP,Fósforo Total,192,15.82,9
143,LSTM,Fósforo Total,192,15.67,9
144,Regressão Linear,Sólido Total,205,11.8,1
145,Random Forest,Sólido Total,205,3.64,1
146,MLP,Sólido Total,205,13.35,1
147,LSTM,Sólido Total,205,12.95,1
148,Regressão Linear,Sólido Total,205,14.83,2
149,Random Forest,Sólido Total,205,4.41,2
150,MLP,Sólido Total,205,16.02,2
151,LSTM,Sólido Total,205,16.72,2
152,Regressão Linear,Sólido Total,205,14.44,3
153,Random Forest,Sólido Total,205,2.9,3
154,MLP,Sólido Total,205,15.12,3
155,LSTM,Sólido Total,205,16.17,3
156,Regressão Linear,Sólido Total,205,16.05,4
157,Random Forest,Sólido Total,205,3.44,4
158,MLP,Sólido Total,205,16.08,4
159,LSTM,Sólido Total,205,16.51,4
160,Regressão Linear,Sólido Total,205,15.57,5
161,Random Forest,Sólido Total,205,4.37,5
162,MLP,Sólido Total,205,16.44,5
163,LSTM,Sólido Total,205,16.49,5
164,Regressão Linear,Sólido Total,205,11.56,6
165,Random Forest,Sólido Total,205,2.43,6
166,MLP,Sólido Total,205,10.05,6
167,LSTM,Sólido Total,205,10.84,6
168,Regressão Linear,Sólido Total,205,14.45,7
169,Random Forest,Sólido Total,205,6.13,7
170,MLP,Sólido Total,205,12.91,7
171,LSTM,Sólido Total,205,15.25,7
172,Regressão Linear,Sólido Total,205,16.22,8
173,Random Forest,Sólido Total,205,4.14,8
174,MLP,Sólido Total,205,16.28,8
175,LSTM,Sólido Total,205,18.22,8
176,Regressão Linear,Sólido Total,205,15.49,9
177,Random Forest,Sólido Total,205,4.32,9
178,MLP,Sólido Total,205,17.81,9
179,LSTM,Sólido Total,205,18.89,9
180,Regressão Linear,"DBO (5, 20)",161,8.34,1
181,Random Forest,"DBO (5, 20)",161,5.03,1
182,MLP,"DBO (5, 20)",161,2.42,1
183,LSTM,"DBO (5, 20)",161,2.63,1
184,Regressão Linear,"DBO (5, 20)",161,8.67,2
185,Random Forest,"DBO (5, 20)",161,4.69,2
186,MLP,"DBO (5, 20)",161,2.1,2
187,LSTM,"DBO (5, 20)",161,2.6,2
