valor_coliformes,valor_dbo,valor_fosforo,valor_od,valor_ph,valor_solido,valor_temperatura,valor_turbidez
165000.0,10.0,0.39249999999999996,5.85,7.0,245.5,19.5,22.0
73500.0,21.5,1.1995,6.05,6.8,417.5,23.0,65.5
5900.0,3.5,0.884,4.9,7.3,267.5,20.0,28.0
36500.0,17.0,0.707,6.3,7.300000000000001,303.0,23.0,22.0
2900.0,31.0,0.54,5.75,7.449999999999999,227.0,21.0,21.0
17000.0,23.0,0.93,5.699999999999999,7.35,282.0,20.5,29.5
4650.0,24.0,1.815,5.949999999999999,7.1,285.0,27.0,25.5
1800.0,31.5,0.623,4.25,7.05,266.5,25.0,37.0
11400.0,30.0,0.8005,4.95,7.1,319.5,24.0,38.0
15055.0,20.0,1.266,4.85,6.9,194.0,25.0,22.5
55400.0,25.5,0.91,6.1,7.4,284.0,27.0,12.5
15001.0,30.5,0.775,7.5,7.1,261.0,22.5,29.5
12600.0,12.5,1.2349999999999999,7.6,7.25,260.5,24.5,30.0
19000.0,18.5,1.415,7.0,7.15,265.5,18.1,18.0
26150.0,18.0,1.66,6.95,7.25,344.5,20.0,32.0
33025.0,20.0,1.2325,6.35,7.275,279.25,20.75,42.25
250850.0,21.5,1.2349999999999999,5.55,7.300000000000001,285.0,23.0,28.5
16150.0,33.0,0.4275,6.800000000000001,7.25,299.0,24.0,18.0
4150.0,28.0,0.8300000000000001,5.75,7.4,328.0,24.5,28.5
1050.0,25.0,0.808,6.7,7.4,293.5,23.0,21.75
150550.0,22.0,0.29,7.300000000000001,7.15,281.0,20.5,19.0
765000.0,11.5,0.815,6.75,7.15,303.0,25.0,42.5
26150.0,10.0,0.615,6.800000000000001,7.05,327.5,23.5,30.0
706500.0,16.5,1.725,6.85,7.2,307.0,26.5,37.5
12200.0,19.0,0.8585,6.85,7.300000000000001,309.5,25.5,29.0
261000.0,13.0,0.5735,6.95,7.4,292.0,18.5,17.1
550650.0,22.0,1.031,6.6,7.4,276.5,19.5,24.0
150850.0,35.5,1.2495,6.4,7.25,336.0,20.5,65.5
490000.0,30.0,1.27,7.05,7.6,326.0,24.0,33.5
251150.0,35.5,1.19,7.7,7.699999999999999,363.0,23.5,13.0
851150.0,26.0,0.598,5.9,7.1,318.0,24.0,14.5
150350.0,17.0,0.8240000000000001,5.85,7.35,285.5,27.5,24.0
27825.0,25.5,1.4124999999999999,6.475,7.324999999999999,312.25,27.25,46.35
254000.0,20.5,1.14,7.75,7.45,339.5,26.15,26.5
9783.333333333334,11.666666666666666,0.45316666666666666,6.533333333333334,7.233333333333333,250.16666666666666,23.25,22.916666666666668
350040.0,37.5,1.325,6.3,7.3,375.5,23.25,20.0
2300.0,7.0,0.031,3.7,6.0,177.0,21.0,170.0
743.3333333333334,11.666666666666666,0.37166666666666665,4.8999999999999995,7.2,305.3333333333333,23.166666666666668,22.666666666666668
108000.0,18.0,0.7616666666666667,6.533333333333332,7.033333333333334,251.66666666666666,22.0,35.833333333333336
325875.0,26.25,1.17425,4.800000000000001,6.825000000000001,281.5,23.5,34.5
1583.3333333333333,11.0,0.9863333333333334,4.0,6.466666666666666,308.0,21.333333333333332,10.200000000000001
6700.0,6.666666666666667,0.8983333333333334,6.0,6.666666666666667,269.0,21.5,17.733333333333334
21575.0,19.75,1.0095,4.8999999999999995,6.9,332.0,23.875,23.375
1300.0,5.0,0.3,0.7,7.1,171.0,22.0,9.0
130000.0,7.0,0.155,2.0,6.9,264.0,23.0,11.0
27975.0,12.0,0.4925,5.5,6.699999999999999,261.75,23.125,77.5
2266.6666666666665,12.333333333333334,0.49833333333333335,4.666666666666667,6.966666666666666,287.0,24.833333333333332,46.03333333333333
3300.0,5.666666666666667,0.35533333333333333,4.8,6.966666666666666,239.33333333333334,24.833333333333332,56.333333333333336
40000.0,14.25,1.1199999999999999,4.275,7.125,305.25,24.625,38.75
3200.0,11.666666666666666,0.33866666666666667,4.3999999999999995,7.2,301.0,21.0,60.0
