tecnica,parametro,amostras,mape,rmse,lag
Random Forest,Turbidez,57,92.28,4.59,4
MLP,Turbidez,57,71.62,6.95,4
LSTM,Turbidez,57,59.16,4.53,4
Regressão Linear,Turbidez,57,69.37,4.23,5
Random Forest,Turbidez,57,90.22,4.53,5
MLP,Turbidez,57,57.43,4.89,5
LSTM,Turbidez,57,58.55,4.6,5
Regressão Linear,Turbidez,57,68.7,4.26,6
Random Forest,Turbidez,57,88.24,4.46,6
MLP,Turbidez,57,105.25,5.8,6
LSTM,Turbidez,57,61.02,4.54,6
Regressão Linear,Turbidez,57,68.93,4.28,7
Random Forest,Turbidez,57,96.08,4.74,7
MLP,Turbidez,57,89.44,5.06,7
LSTM,Turbidez,57,69.6,4.81,7
Regressão Linear,Turbidez,57,69.13,4.29,8
Random Forest,Turbidez,57,93.25,4.71,8
MLP,Turbidez,57,96.32,5.43,8
LSTM,Turbidez,57,64.95,4.68,8
Regressão Linear,Turbidez,57,63.67,4.37,9
Random Forest,Turbidez,57,78.14,4.58,9
MLP,Turbidez,57,81.04,5.14,9
LSTM,Turbidez,57,58.53,4.82,9
Regressão Linear,Turbidez,57,65.18,4.43,10
Random Forest,Turbidez,57,79.05,4.66,10
MLP,Turbidez,57,71.21,5.09,10
LSTM,Turbidez,57,60.64,4.56,10
Regressão Linear,Fósforo Total,58,97.3,0.02,1
Random Forest,Fósforo Total,58,90.75,0.03,1
MLP,Fósforo Total,58,72.19,0.04,1
LSTM,Fósforo Total,58,79.95,0.02,1
Regressão Linear,Fósforo Total,58,96.63,0.02,2
Random Forest,Fósforo Total,58,96.0,0.03,2
MLP,Fósforo Total,58,72.19,0.04,2
LSTM,Fósforo Total,58,91.56,0.02,2
Regressão Linear,Fósforo Total,58,95.69,0.02,3
Random Forest,Fósforo Total,58,104.8,0.03,3
MLP,Fósforo Total,58,84.24,0.02,3
LSTM,Fósforo Total,58,85.48,0.02,3
Regressão Linear,Fósforo Total,58,93.75,0.02,4
Random Forest,Fósforo Total,58,98.72,0.03,4
MLP,Fósforo Total,58,108.84,0.03,4
LSTM,Fósforo Total,58,96.11,0.02,4
Regressão Linear,Fósforo Total,58,96.98,0.02,5
Random Forest,Fósforo Total,58,97.65,0.03,5
MLP,Fósforo Total,58,91.57,0.03,5
LSTM,Fósforo Total,58,80.73,0.02,5
Regressão Linear,Fósforo Total,58,96.82,0.02,6
Random Forest,Fósforo Total,58,107.27,0.03,6
MLP,Fósforo Total,58,96.83,0.03,6
LSTM,Fósforo Total,58,92.89,0.02,6
Regressão Linear,Fósforo Total,58,95.11,0.02,7
Random Forest,Fósforo Total,58,103.98,0.03,7
MLP,Fósforo Total,58,88.82,0.03,7
LSTM,Fósforo Total,58,84.63,0.02,7
Regressão Linear,Fósforo Total,58,95.11,0.02,8
Random Forest,Fósforo Total,58,102.8,0.03,8
MLP,Fósforo Total,58,71.27,0.02,8
LSTM,Fósforo Total,58,67.56,0.03,8
Regressão Linear,Fósforo Total,58,98.81,0.03,9
Random Forest,Fósforo Total,58,115.37,0.03,9
MLP,Fósforo Total,58,82.13,0.03,9
LSTM,Fósforo Total,58,80.27,0.02,9
Regressão Linear,Fósforo Total,58,97.55,0.03,10
Random Forest,Fósforo Total,58,109.65,0.03,10
MLP,Fósforo Total,58,77.43,0.02,10
LSTM,Fósforo Total,58,79.5,0.02,10
Regressão Linear,Sólido Total,62,6.04,7.79,1
Random Forest,Sólido Total,62,10.47,10.99,1
MLP,Sólido Total,62,2.1,7.23,1
LSTM,Sólido Total,62,5.43,7.48,1
Regressão Linear,Sólido Total,62,5.94,7.73,2
Random Forest,Sólido Total,62,9.52,10.02,2
MLP,Sólido Total,62,4.98,6.89,2
LSTM,Sólido Total,62,5.33,7.3,2
Regressão Linear,Sólido Total,62,5.79,7.71,3
Random Forest,Sólido Total,62,8.44,9.05,3
MLP,Sólido Total,62,5.21,7.16,3
LSTM,Sólido Total,62,5.5,7.32,3
