,data_coleta,observado,previsao
0,2008-11-30,1.0986122890014431,1.167088508605957
1,2009-07-31,1.0986122890014431,1.167088508605957
2,2009-08-31,1.0986122890014431,1.167088508605957
3,2009-09-30,1.0986122890014431,1.167088508605957
4,2009-10-31,1.0986122890014431,1.167088508605957
5,2009-11-30,1.0986122890014431,1.167088508605957
6,2010-03-31,1.3862943613698906,1.167088508605957
7,2010-05-31,1.0986122890014431,1.1746801137924194
8,2010-07-31,1.0986122890014431,1.1874594688415527
9,2010-09-30,1.0986122890014431,1.2034275531768799
10,2010-11-30,1.0986122890014431,1.2208925485610962
11,2011-05-31,1.0986122890014431,1.2384840250015259
12,2011-06-30,1.0986122890014431,1.167088508605957
13,2011-07-31,1.0986122890014431,1.167088508605957
14,2011-08-31,1.0986122890014431,1.167088508605957
15,2011-11-30,1.3862943613698906,1.167088508605957
16,2012-01-31,1.0986122890014431,1.1746801137924194
17,2012-05-31,1.0986122890014431,1.1874594688415527
18,2012-09-30,1.0986122890014431,1.2034275531768799
19,2012-11-30,1.0986122890014431,1.2208925485610962
20,2013-04-30,1.0986122890014431,1.2384840250015259
21,2013-05-31,1.0986122890014431,1.167088508605957
22,2013-06-30,1.0986122890014431,1.167088508605957
23,2013-09-30,1.0986122890014431,1.167088508605957
24,2013-10-31,1.0986122890014431,1.167088508605957
25,2013-11-30,1.0986122890014431,1.167088508605957
26,2014-01-31,1.0986122890014431,1.167088508605957
27,2014-05-31,1.0986122890014431,1.167088508605957
28,2014-07-31,1.0986122890014431,1.167088508605957
29,2014-09-30,1.0986122890014431,1.167088508605957
30,2014-11-30,1.0986122890014431,1.167088508605957
31,2014-12-31,1.0986122890014431,1.167088508605957
32,2015-01-31,1.3862943613698906,1.167088508605957
33,2015-05-31,1.0986122890014431,1.1746801137924194
34,2015-09-30,1.3862943613698906,1.1874594688415527
35,2015-11-30,1.0986122890014431,1.2117445468902588
36,2016-01-31,1.0986122890014431,1.2435134649276733
37,2016-07-31,1.0986122890014431,1.2792572975158691
38,2016-09-30,1.0986122890014431,1.2208925485610962
39,2016-10-31,1.0986122890014431,1.2384840250015259
40,2016-11-30,1.0986122890014431,1.167088508605957
41,2017-07-31,1.0986122890014431,1.167088508605957
42,2017-09-30,1.0986122890014431,1.167088508605957
43,2017-11-30,1.0986122890014431,1.167088508605957
44,2018-05-31,1.0986122890014431,1.167088508605957
45,2018-08-31,1.0986122890014431,1.167088508605957
46,2018-09-30,1.0986122890014431,1.167088508605957
47,2018-11-30,1.2527629687810824,1.167088508605957
48,2019-09-30,1.0986122890014431,1.1711041927337646
