,data_coleta,observado,previsao
0,2006-12-31,2.995732273603991,3.1201207637786865
1,2007-08-31,3.1441522787153677,3.114896774291992
2,2007-09-30,3.0516399055395684,3.123809337615967
3,2007-11-30,2.980618635794704,3.116595506668091
4,2008-03-31,3.1654750481832794,3.1117241382598877
5,2008-04-30,3.01553490089919,3.1175804138183594
6,2008-07-31,2.928523523914017,3.1239442825317383
7,2008-08-31,3.034952986755349,3.1158535480499268
8,2008-11-30,3.0445224377710423,3.1142537593841553
9,2009-07-31,3.0032042884423196,3.1190567016601562
10,2009-08-31,3.1612467120739374,3.1058058738708496
11,2009-09-30,2.928523523914017,3.1057827472686768
12,2009-10-31,3.1267605360042547,3.1150104999542236
13,2009-11-30,3.086486636868117,3.116044521331787
14,2010-03-31,3.117949906322488,3.1168782711029053
15,2010-05-31,3.005682604456664,3.122774839401245
16,2010-07-31,3.0492730405294144,3.1142284870147705
17,2010-09-30,2.9856819377509947,3.126833915710449
18,2010-11-30,3.0726933147364157,3.121666431427002
19,2011-03-31,3.1311369106038622,3.1185390949249268
20,2011-05-31,3.005682604456664,3.111835479736328
21,2011-06-30,3.1484533606145733,3.1152806282043457
22,2011-07-31,2.923161580772919,3.1160154342651367
23,2011-08-31,2.9601050959626534,3.122922658920288
24,2011-11-30,3.077312260592497,3.1213490962982178
25,2012-01-31,3.0492730405294144,3.112597942352295
26,2012-05-31,3.0301337003196327,3.1143388748168945
27,2012-07-31,3.0228609409909053,3.1021366119384766
28,2012-09-30,2.9496883351049403,3.1106791496276855
29,2012-11-30,3.238678452203596,3.117037296295166
30,2013-04-30,2.899771882463116,3.1138577461242676
31,2013-05-31,2.9699015135707776,3.1126348972320557
32,2013-06-30,3.1859393246632752,3.112429141998291
33,2013-09-30,2.918311126639431,3.113513946533203
34,2013-10-31,3.1086144306553263,3.1218624114990234
35,2013-11-30,3.050693831675291,3.102931022644043
36,2014-01-31,3.135494215972628,3.114656686782837
37,2014-05-31,3.056827372960839,3.122836112976074
38,2014-07-31,2.895911938327029,3.1116509437561035
39,2014-09-30,3.1135153092548187,3.12397837638855
40,2014-11-30,3.1822118405381032,3.1195647716522217
41,2014-12-31,3.245712478860701,3.1203978061676025
42,2015-01-31,3.367295830020957,3.114816665649414
43,2015-05-31,3.0633909220745346,3.1194474697113037
44,2015-07-31,2.933856869889095,3.1428279876708984
45,2015-09-30,3.1000922889232787,3.149325370788574
46,2015-11-30,3.2027464429789676,3.1485888957977295
47,2016-01-31,3.1620938108115535,3.1400725841522217
48,2016-09-30,3.0603489166868347,3.1169228553771973
49,2016-10-31,3.0633909220745346,3.1187989711761475
50,2016-11-30,3.0914968955838042,3.134216547012329
51,2017-09-30,3.028522096425369,3.1363184452056885
52,2017-11-30,3.07961375758067,3.1276068687438965
53,2018-05-31,3.01553490089919,3.119898796081543
54,2018-08-31,3.109060958905637,3.11997652053833
55,2018-09-30,3.01553490089919,3.119807481765747
56,2018-10-31,3.0726933147364157,3.116590738296509
57,2018-11-30,2.975529566287492,3.11897873878479
58,2019-09-30,3.12236492453141,3.116271734237671
