,data_coleta,observado,previsao
0,2001-09-30,3.7135720667286978,-0.23794573545455933
1,2001-11-30,1.9459101491981705,-0.7928876280784607
2,2002-03-31,5.480638923346158,-1.3316411972045898
3,2002-05-31,3.610917912671251,-2.438917398452759
4,2002-07-31,2.0794415418048358,1.6073001623153687
5,2002-09-30,3.988984046582793,1.7535650730133057
6,2003-01-31,4.78749174279038,1.7089872360229492
7,2003-04-30,2.8332133441150398,2.0283889770507812
8,2003-05-31,3.7135720667286978,1.6990852355957031
9,2003-09-30,3.526360524645573,1.6773483753204346
10,2003-10-31,2.639057329686687,1.9594810009002686
11,2004-03-31,4.605170185998092,1.8948365449905396
12,2004-05-31,3.0910424534037704,1.6662590503692627
13,2004-07-31,3.6635616461552876,1.7771263122558594
14,2004-09-30,3.5835189384838877,1.7407487630844116
15,2004-10-31,4.158883083375297,1.7387230396270752
16,2005-01-31,4.852030263927429,1.9253666400909424
17,2005-03-31,5.192956850895766,1.7858927249908447
18,2005-07-31,2.639057329686687,1.9576455354690552
19,2005-09-30,3.367295830020957,2.041571855545044
20,2005-12-31,4.330733340299489,2.138770341873169
21,2006-07-31,3.0680529351801287,2.1308751106262207
22,2006-08-31,4.997212273770872,1.9542909860610962
23,2006-10-31,4.52178857705991,1.6886752843856812
24,2006-12-31,1.0986122890014431,1.9039522409439087
25,2007-08-31,4.718498871304023,1.9773001670837402
26,2007-09-30,4.897839799958374,1.874755859375
27,2007-11-30,4.973279507559408,2.0172178745269775
28,2008-03-31,3.828641396510834,1.8329806327819824
29,2008-04-30,2.0794415418048358,1.724109172821045
30,2008-07-31,3.2580965380599434,2.2487285137176514
31,2008-08-31,4.276666119029945,2.128453254699707
32,2008-11-30,5.278114659235619,1.9280717372894287
33,2009-07-31,3.4339872045174045,1.694646954536438
34,2009-08-31,4.382026634686381,1.6570144891738892
35,2009-11-30,5.662960480139418,1.9878391027450562
36,2010-03-31,4.882801922593947,2.190497875213623
37,2010-05-31,3.828641396510834,2.2510783672332764
38,2010-07-31,3.401197381695489,2.120934009552002
39,2010-09-30,3.526360524645573,2.306257963180542
40,2010-11-30,4.158883083375297,2.3094851970672607
41,2011-03-31,3.6888794541389363,2.036510705947876
42,2011-05-31,4.094344562238767,1.8455594778060913
43,2011-07-31,1.0986122890014431,1.8304548263549805
44,2011-08-31,2.8332133441150398,1.8509130477905273
45,2011-11-30,4.2626798770554,1.8165721893310547
