,tecnica,parametro,amostras,mape,lag
101,Random Forest,Turbidez,189,103.13,6
102,MLP,Turbidez,189,52.52,6
103,LSTM,Turbidez,189,67.78,6
104,Regressão Linear,Turbidez,189,115.63,7
105,Random Forest,Turbidez,189,100.44,7
106,MLP,Turbidez,189,52.65,7
107,LSTM,Turbidez,189,70.1,7
108,Regressão Linear,Turbidez,189,112.01,8
109,Random Forest,Turbidez,189,58.01,8
110,MLP,Turbidez,189,71.24,8
111,LSTM,Turbidez,189,72.86,8
112,Regressão Linear,Turbidez,189,104.97,9
113,Random Forest,Turbidez,189,53.21,9
114,MLP,Turbidez,189,62.86,9
115,LSTM,Turbidez,189,52.17,9
116,Regressão Linear,Turbidez,189,110.6,10
117,Random Forest,Turbidez,189,58.76,10
118,MLP,Turbidez,189,58.79,10
119,LSTM,Turbidez,189,160.31,10
120,Regressão Linear,Fósforo Total,192,15.42,1
121,Random Forest,Fósforo Total,192,18.0,1
122,MLP,Fósforo Total,192,50.66,1
123,LSTM,Fósforo Total,192,15.21,1
124,Regressão Linear,Fósforo Total,192,15.49,2
125,Random Forest,Fósforo Total,192,17.85,2
126,MLP,Fósforo Total,192,50.66,2
127,LSTM,Fósforo Total,192,15.41,2
128,Regressão Linear,Fósforo Total,192,15.48,3
129,Random Forest,Fósforo Total,192,17.15,3
130,MLP,Fósforo Total,192,16.86,3
131,LSTM,Fósforo Total,192,16.19,3
132,Regressão Linear,Fósforo Total,192,15.27,4
133,Random Forest,Fósforo Total,192,17.12,4
134,MLP,Fósforo Total,192,50.54,4
135,LSTM,Fósforo Total,192,50.66,4
136,Regressão Linear,Fósforo Total,192,15.55,5
137,Random Forest,Fósforo Total,192,16.16,5
138,MLP,Fósforo Total,192,16.86,5
139,LSTM,Fósforo Total,192,15.59,5
140,Regressão Linear,Fósforo Total,192,15.67,6
141,Random Forest,Fósforo Total,192,16.14,6
142,MLP,Fósforo Total,192,15.94,6
143,LSTM,Fósforo Total,192,15.51,6
144,Regressão Linear,Fósforo Total,192,14.89,7
145,Random Forest,Fósforo Total,192,15.53,7
146,MLP,Fósforo Total,192,50.66,7
147,LSTM,Fósforo Total,192,15.77,7
148,Regressão Linear,Fósforo Total,192,14.96,8
149,Random Forest,Fósforo Total,192,15.68,8
150,MLP,Fósforo Total,192,17.05,8
151,LSTM,Fósforo Total,192,15.85,8
152,Regressão Linear,Fósforo Total,192,15.45,9
153,Random Forest,Fósforo Total,192,15.73,9
154,MLP,Fósforo Total,192,15.92,9
155,LSTM,Fósforo Total,192,15.76,9
156,Regressão Linear,Fósforo Total,192,15.52,10
157,Random Forest,Fósforo Total,192,15.44,10
158,MLP,Fósforo Total,192,50.66,10
159,LSTM,Fósforo Total,192,16.16,10
160,Regressão Linear,Sólido Total,205,2.17,1
161,Random Forest,Sólido Total,205,3.2,1
162,MLP,Sólido Total,205,0.48,1
163,LSTM,Sólido Total,205,2.01,1
164,Regressão Linear,Sólido Total,205,2.09,2
165,Random Forest,Sólido Total,205,2.78,2
166,MLP,Sólido Total,205,1.66,2
167,LSTM,Sólido Total,205,1.96,2
168,Regressão Linear,Sólido Total,205,1.94,3
169,Random Forest,Sólido Total,205,2.89,3
170,MLP,Sólido Total,205,1.51,3
171,LSTM,Sólido Total,205,1.94,3
172,Regressão Linear,Sólido Total,205,1.91,4
173,Random Forest,Sólido Total,205,2.99,4
174,MLP,Sólido Total,205,1.72,4
175,LSTM,Sólido Total,205,1.9,4
176,Regressão Linear,Sólido Total,205,0.98,5
177,Random Forest,Sólido Total,205,0.84,5
178,MLP,Sólido Total,205,0.85,5
179,LSTM,Sólido Total,205,1.57,5
180,Regressão Linear,Sólido Total,205,0.83,6
181,Random Forest,Sólido Total,205,0.74,6
