data_coleta,observado,previsao
2006-12-31,2.995732273603991,3.102297067642212
2007-08-31,3.1441522787153677,3.1127052307128906
2007-09-30,3.0516399055395684,3.158262252807617
2007-11-30,2.980618635794704,3.1041855812072754
2008-03-31,3.1654750481832794,3.0861215591430664
2008-04-30,3.01553490089919,3.16086483001709
2008-07-31,2.928523523914017,3.1244781017303467
2008-08-31,3.034952986755349,3.1040945053100586
2008-11-30,3.0445224377710423,3.1649222373962402
2009-07-31,3.0032042884423196,3.1182751655578613
2009-08-31,3.1612467120739374,3.0942444801330566
2009-09-30,2.928523523914017,3.113041400909424
2009-10-31,3.1267605360042547,3.094444513320923
2009-11-30,3.086486636868117,3.1016323566436768
2010-03-31,3.117949906322488,3.1326258182525635
2010-05-31,3.005682604456664,3.0946528911590576
2010-07-31,3.0492730405294144,3.079444646835327
2010-09-30,2.9856819377509947,3.1354284286499023
2010-11-30,3.0726933147364157,3.1321325302124023
2011-03-31,3.1311369106038622,3.1192641258239746
2011-05-31,3.005682604456664,3.1111862659454346
2011-06-30,3.1484533606145733,3.091665029525757
2011-07-31,2.923161580772919,3.098194122314453
2011-08-31,2.9601050959626534,3.1074130535125732
2011-11-30,3.077312260592497,3.1231637001037598
2012-01-31,3.0492730405294144,3.155242919921875
2012-05-31,3.0301337003196327,3.1085851192474365
2012-07-31,3.0228609409909053,3.075880527496338
2012-09-30,2.9496883351049403,3.1030025482177734
2012-11-30,3.238678452203596,3.129323720932007
2013-04-30,2.899771882463116,3.154022693634033
2013-05-31,2.9699015135707776,3.0698184967041016
2013-06-30,3.1859393246632752,3.0741074085235596
2013-09-30,2.918311126639431,3.193321466445923
2013-10-31,3.1086144306553263,3.1195175647735596
2013-11-30,3.050693831675291,3.0761380195617676
2014-01-31,3.135494215972628,3.125290870666504
2014-05-31,3.056827372960839,3.098047971725464
2014-07-31,2.895911938327029,3.0759785175323486
2014-09-30,3.1135153092548187,3.1188158988952637
2014-11-30,3.1822118405381032,3.1607985496520996
2014-12-31,3.245712478860701,3.1439402103424072
2015-01-31,3.367295830020957,3.0476346015930176
2015-05-31,3.0633909220745346,3.0381031036376953
2015-07-31,2.933856869889095,3.074838161468506
2015-09-30,3.1000922889232787,3.1317813396453857
2015-11-30,3.2027464429789676,3.1907098293304443
2016-01-31,3.1620938108115535,3.1616268157958984
2016-09-30,3.0603489166868347,3.0656871795654297
2016-10-31,3.0633909220745346,3.0736424922943115
2016-11-30,3.0914968955838042,3.1313157081604004
2017-09-30,3.028522096425369,3.151921510696411
2017-11-30,3.07961375758067,3.1328468322753906
2018-05-31,3.01553490089919,3.115302085876465
2018-08-31,3.109060958905637,3.1203627586364746
2018-09-30,3.01553490089919,3.1105751991271973
2018-10-31,3.0726933147364157,3.1065726280212402
2018-11-30,2.975529566287492,3.110682249069214
2019-09-30,3.12236492453141,3.113348960876465
