tecnica,parametro,amostras,mape,lag
Regressão Linear,Turbidez,179,35.16,9
Random Forest,Turbidez,179,36.65,9
MLP,Turbidez,179,33.78,9
LSTM,Turbidez,179,33.97,9
Regressão Linear,Turbidez,179,36.37,10
Random Forest,Turbidez,179,37.33,10
MLP,Turbidez,179,34.5,10
LSTM,Turbidez,179,33.63,10
Regressão Linear,Fósforo Total,179,18.05,1
Random Forest,Fósforo Total,179,24.99,1
MLP,Fósforo Total,179,17.65,1
LSTM,Fósforo Total,179,17.28,1
Regressão Linear,Fósforo Total,179,17.61,2
Random Forest,Fósforo Total,179,21.07,2
MLP,Fósforo Total,179,16.44,2
LSTM,Fósforo Total,179,17.2,2
Regressão Linear,Fósforo Total,179,17.53,3
Random Forest,Fósforo Total,179,19.49,3
MLP,Fósforo Total,179,16.88,3
LSTM,Fósforo Total,179,16.92,3
Regressão Linear,Fósforo Total,179,17.77,4
Random Forest,Fósforo Total,179,20.49,4
MLP,Fósforo Total,179,16.25,4
LSTM,Fósforo Total,179,17.06,4
Regressão Linear,Fósforo Total,179,18.05,5
Random Forest,Fósforo Total,179,20.0,5
MLP,Fósforo Total,179,17.19,5
LSTM,Fósforo Total,179,17.0,5
Regressão Linear,Fósforo Total,179,17.57,6
Random Forest,Fósforo Total,179,19.83,6
MLP,Fósforo Total,179,17.47,6
LSTM,Fósforo Total,179,16.99,6
Regressão Linear,Fósforo Total,179,17.75,7
Random Forest,Fósforo Total,179,19.5,7
MLP,Fósforo Total,179,17.35,7
LSTM,Fósforo Total,179,16.62,7
Regressão Linear,Fósforo Total,179,18.11,8
Random Forest,Fósforo Total,179,19.31,8
MLP,Fósforo Total,179,16.48,8
LSTM,Fósforo Total,179,16.66,8
Regressão Linear,Fósforo Total,179,18.16,9
Random Forest,Fósforo Total,179,19.97,9
MLP,Fósforo Total,179,16.75,9
LSTM,Fósforo Total,179,16.91,9
Regressão Linear,Fósforo Total,179,18.18,10
Random Forest,Fósforo Total,179,19.59,10
MLP,Fósforo Total,179,17.5,10
LSTM,Fósforo Total,179,16.65,10
Regressão Linear,Sólido Total,179,2.59,1
Random Forest,Sólido Total,179,3.15,1
MLP,Sólido Total,179,2.95,1
LSTM,Sólido Total,179,2.69,1
Regressão Linear,Sólido Total,179,2.52,2
Random Forest,Sólido Total,179,2.88,2
MLP,Sólido Total,179,2.86,2
LSTM,Sólido Total,179,2.64,2
Regressão Linear,Sólido Total,179,2.35,3
Random Forest,Sólido Total,179,2.71,3
MLP,Sólido Total,179,2.58,3
LSTM,Sólido Total,179,2.95,3
Regressão Linear,Sólido Total,179,2.27,4
Random Forest,Sólido Total,179,3.16,4
MLP,Sólido Total,179,2.65,4
LSTM,Sólido Total,179,2.66,4
Regressão Linear,Sólido Total,179,2.18,5
Random Forest,Sólido Total,179,3.01,5
MLP,Sólido Total,179,2.99,5
LSTM,Sólido Total,179,2.96,5
Regressão Linear,Sólido Total,179,2.09,6
Random Forest,Sólido Total,179,3.46,6
MLP,Sólido Total,179,2.66,6
LSTM,Sólido Total,179,2.97,6
Regressão Linear,Sólido Total,179,1.96,7
Random Forest,Sólido Total,179,2.92,7
MLP,Sólido Total,179,2.46,7
LSTM,Sólido Total,179,2.69,7
Regressão Linear,Sólido Total,179,1.92,8
Random Forest,Sólido Total,179,2.98,8
MLP,Sólido Total,179,2.77,8
LSTM,Sólido Total,179,2.78,8
Regressão Linear,Sólido Total,179,1.78,9
Random Forest,Sólido Total,179,2.97,9
MLP,Sólido Total,179,3.01,9
LSTM,Sólido Total,179,2.57,9
Regressão Linear,Sólido Total,179,1.46,10
