tecnica,parametro,amostras,mape,lag
Regressão Linear,Turbidez,179,163.64,9
Random Forest,Turbidez,179,147.05,9
MLP,Turbidez,179,110.77,9
LSTM,Turbidez,179,127.91,9
Regressão Linear,Turbidez,179,159.25,10
Random Forest,Turbidez,179,129.57,10
MLP,Turbidez,179,109.55,10
LSTM,Turbidez,179,124.81,10
Regressão Linear,Fósforo Total,179,40.58,1
Random Forest,Fósforo Total,179,39.44,1
MLP,Fósforo Total,179,41.46,1
LSTM,Fósforo Total,179,40.59,1
Regressão Linear,Fósforo Total,179,40.92,2
Random Forest,Fósforo Total,179,43.2,2
MLP,Fósforo Total,179,40.63,2
LSTM,Fósforo Total,179,40.36,2
Regressão Linear,Fósforo Total,179,41.99,3
Random Forest,Fósforo Total,179,43.58,3
MLP,Fósforo Total,179,40.05,3
LSTM,Fósforo Total,179,40.27,3
Regressão Linear,Fósforo Total,179,41.03,4
Random Forest,Fósforo Total,179,41.23,4
MLP,Fósforo Total,179,38.85,4
LSTM,Fósforo Total,179,40.42,4
Regressão Linear,Fósforo Total,179,40.11,5
Random Forest,Fósforo Total,179,39.06,5
MLP,Fósforo Total,179,40.83,5
LSTM,Fósforo Total,179,40.21,5
Regressão Linear,Fósforo Total,179,39.91,6
Random Forest,Fósforo Total,179,40.73,6
MLP,Fósforo Total,179,39.99,6
LSTM,Fósforo Total,179,40.68,6
Regressão Linear,Fósforo Total,179,39.77,7
Random Forest,Fósforo Total,179,41.13,7
MLP,Fósforo Total,179,40.36,7
LSTM,Fósforo Total,179,40.7,7
Regressão Linear,Fósforo Total,179,40.37,8
Random Forest,Fósforo Total,179,40.48,8
MLP,Fósforo Total,179,40.91,8
LSTM,Fósforo Total,179,40.41,8
Regressão Linear,Fósforo Total,179,40.46,9
Random Forest,Fósforo Total,179,40.68,9
MLP,Fósforo Total,179,39.99,9
LSTM,Fósforo Total,179,39.55,9
Regressão Linear,Fósforo Total,179,41.7,10
Random Forest,Fósforo Total,179,40.62,10
MLP,Fósforo Total,179,39.77,10
LSTM,Fósforo Total,179,39.69,10
Regressão Linear,Sólido Total,179,11.96,1
Random Forest,Sólido Total,179,20.79,1
MLP,Sólido Total,179,15.53,1
LSTM,Sólido Total,179,15.85,1
Regressão Linear,Sólido Total,179,11.0,2
Random Forest,Sólido Total,179,17.41,2
MLP,Sólido Total,179,14.2,2
LSTM,Sólido Total,179,13.56,2
Regressão Linear,Sólido Total,179,9.62,3
Random Forest,Sólido Total,179,16.94,3
MLP,Sólido Total,179,15.9,3
LSTM,Sólido Total,179,15.93,3
Regressão Linear,Sólido Total,179,9.16,4
Random Forest,Sólido Total,179,19.57,4
MLP,Sólido Total,179,13.97,4
LSTM,Sólido Total,179,15.92,4
Regressão Linear,Sólido Total,179,8.64,5
Random Forest,Sólido Total,179,17.39,5
MLP,Sólido Total,179,13.08,5
LSTM,Sólido Total,179,14.12,5
Regressão Linear,Sólido Total,179,6.37,6
Random Forest,Sólido Total,179,11.68,6
MLP,Sólido Total,179,13.85,6
LSTM,Sólido Total,179,14.43,6
Regressão Linear,Sólido Total,179,6.55,7
Random Forest,Sólido Total,179,11.63,7
MLP,Sólido Total,179,15.83,7
LSTM,Sólido Total,179,15.6,7
Regressão Linear,Sólido Total,179,6.59,8
Random Forest,Sólido Total,179,10.76,8
MLP,Sólido Total,179,16.24,8
LSTM,Sólido Total,179,16.03,8
Regressão Linear,Sólido Total,179,5.8,9
Random Forest,Sólido Total,179,11.69,9
MLP,Sólido Total,179,16.09,9
LSTM,Sólido Total,179,15.78,9
Regressão Linear,Sólido Total,179,5.65,10
Random Forest,Sólido Total,179,10.89,10
MLP,Sólido Total,179,15.37,10
LSTM,Sólido Total,179,15.86,10
Regressão Linear,"DBO (5, 20)",179,42.01,1
Random Forest,"DBO (5, 20)",179,36.22,1
MLP,"DBO (5, 20)",179,57.47,1
LSTM,"DBO (5, 20)",179,70.05,1
Regressão Linear,"DBO (5, 20)",179,35.68,2
Random Forest,"DBO (5, 20)",179,23.77,2
MLP,"DBO (5, 20)",179,40.94,2
LSTM,"DBO (5, 20)",179,71.32,2
Regressão Linear,"DBO (5, 20)",179,36.34,3
Random Forest,"DBO (5, 20)",179,25.64,3
MLP,"DBO (5, 20)",179,35.75,3
LSTM,"DBO (5, 20)",179,33.23,3
Regressão Linear,"DBO (5, 20)",179,38.72,4
Random Forest,"DBO (5, 20)",179,34.15,4
MLP,"DBO (5, 20)",179,37.71,4
LSTM,"DBO (5, 20)",179,71.17,4
Regressão Linear,"DBO (5, 20)",179,34.46,5
Random Forest,"DBO (5, 20)",179,39.46,5
MLP,"DBO (5, 20)",179,67.24,5
LSTM,"DBO (5, 20)",179,34.49,5
Regressão Linear,"DBO (5, 20)",179,30.7,6
Random Forest,"DBO (5, 20)",179,27.88,6
MLP,"DBO (5, 20)",179,45.32,6
LSTM,"DBO (5, 20)",179,34.04,6
Regressão Linear,"DBO (5, 20)",179,33.33,7
Random Forest,"DBO (5, 20)",179,26.41,7
MLP,"DBO (5, 20)",179,48.83,7
LSTM,"DBO (5, 20)",179,75.15,7
Regressão Linear,"DBO (5, 20)",179,37.8,8
Random Forest,"DBO (5, 20)",179,24.56,8
MLP,"DBO (5, 20)",179,50.17,8
LSTM,"DBO (5, 20)",179,70.71,8
Regressão Linear,"DBO (5, 20)",179,34.68,9
Random Forest,"DBO (5, 20)",179,19.25,9
MLP,"DBO (5, 20)",179,45.79,9
LSTM,"DBO (5, 20)",179,68.45,9
