data_coleta,observado,previsao
2001-09-30,3.7135720667286978,-7.954369068145752
2001-11-30,1.9459101491981705,7.250467300415039
2002-03-31,5.480638923346158,2.1190261840820312
2002-05-31,3.610917912671251,-4.717813491821289
2002-07-31,2.0794415418048358,4.2850470542907715
2002-09-30,3.988984046582793,2.741034507751465
2003-01-31,4.78749174279038,2.5049848556518555
2003-04-30,2.8332133441150398,4.849165916442871
2003-05-31,3.7135720667286978,3.678030014038086
2003-09-30,3.526360524645573,2.5193753242492676
2003-10-31,2.639057329686687,3.8643181324005127
2004-03-31,4.605170185998092,3.551319122314453
2004-05-31,3.0910424534037704,3.104797124862671
2004-07-31,3.6635616461552876,4.014214515686035
2004-09-30,3.5835189384838877,3.0427963733673096
2004-10-31,4.158883083375297,3.3613052368164062
2005-01-31,4.852030263927429,3.9243357181549072
2005-03-31,5.192956850895766,3.9057254791259766
2005-07-31,2.639057329686687,4.379444599151611
2005-09-30,3.367295830020957,3.7741215229034424
2005-12-31,4.330733340299489,3.0070950984954834
2006-07-31,3.0680529351801287,4.254244804382324
2006-08-31,4.997212273770872,4.192805767059326
2006-10-31,4.52178857705991,3.1701760292053223
2006-12-31,1.0986122890014431,4.4087605476379395
2007-08-31,4.718498871304023,3.24462628364563
2007-09-30,4.897839799958374,2.439495801925659
2007-11-30,4.973279507559408,5.262065410614014
2008-03-31,3.828641396510834,4.380045413970947
2008-04-30,2.0794415418048358,3.1926283836364746
2008-07-31,3.2580965380599434,3.4274404048919678
2008-08-31,4.276666119029945,3.2160513401031494
2008-11-30,5.278114659235619,4.246830940246582
2009-07-31,3.4339872045174045,4.266940116882324
2009-08-31,4.382026634686381,3.56632924079895
2009-11-30,5.662960480139418,3.26937198638916
2010-03-31,4.882801922593947,4.7169880867004395
2010-05-31,3.828641396510834,5.136810779571533
2010-07-31,3.401197381695489,3.7635653018951416
2010-09-30,3.526360524645573,3.7122764587402344
2010-11-30,4.158883083375297,4.108300685882568
2011-03-31,3.6888794541389363,4.078767776489258
2011-05-31,4.094344562238767,3.8470542430877686
2011-07-31,1.0986122890014431,3.5025529861450195
2011-08-31,2.8332133441150398,3.083867073059082
2011-11-30,4.2626798770554,2.3149993419647217
