,tecnica,parametro,amostras,mape,lag
101,Random Forest,Turbidez,205,150.72,6
102,MLP,Turbidez,205,121.15,6
103,LSTM,Turbidez,205,133.85,6
104,Regressão Linear,Turbidez,205,170.15,7
105,Random Forest,Turbidez,205,151.72,7
106,MLP,Turbidez,205,126.46,7
107,LSTM,Turbidez,205,136.98,7
108,Regressão Linear,Turbidez,205,179.92,8
109,Random Forest,Turbidez,205,150.85,8
110,MLP,Turbidez,205,116.66,8
111,LSTM,Turbidez,205,131.12,8
112,Regressão Linear,Turbidez,205,171.7,9
113,Random Forest,Turbidez,205,153.42,9
114,MLP,Turbidez,205,118.54,9
115,LSTM,Turbidez,205,143.93,9
116,Regressão Linear,Turbidez,205,167.19,10
117,Random Forest,Turbidez,205,136.27,10
118,MLP,Turbidez,205,115.81,10
119,LSTM,Turbidez,205,145.19,10
120,Regressão Linear,Fósforo Total,207,28.35,1
121,Random Forest,Fósforo Total,207,27.52,1
122,MLP,Fósforo Total,207,28.59,1
123,LSTM,Fósforo Total,207,28.42,1
124,Regressão Linear,Fósforo Total,207,28.46,2
125,Random Forest,Fósforo Total,207,30.05,2
126,MLP,Fósforo Total,207,29.5,2
127,LSTM,Fósforo Total,207,28.4,2
128,Regressão Linear,Fósforo Total,207,29.01,3
129,Random Forest,Fósforo Total,207,27.43,3
130,MLP,Fósforo Total,207,27.91,3
131,LSTM,Fósforo Total,207,28.26,3
132,Regressão Linear,Fósforo Total,207,28.42,4
133,Random Forest,Fósforo Total,207,29.01,4
134,MLP,Fósforo Total,207,30.97,4
135,LSTM,Fósforo Total,207,28.34,4
136,Regressão Linear,Fósforo Total,207,27.08,5
137,Random Forest,Fósforo Total,207,28.69,5
138,MLP,Fósforo Total,207,26.7,5
139,LSTM,Fósforo Total,207,28.05,5
140,Regressão Linear,Fósforo Total,207,27.07,6
141,Random Forest,Fósforo Total,207,29.14,6
142,MLP,Fósforo Total,207,28.12,6
143,LSTM,Fósforo Total,207,28.27,6
144,Regressão Linear,Fósforo Total,207,27.12,7
145,Random Forest,Fósforo Total,207,28.29,7
146,MLP,Fósforo Total,207,27.07,7
147,LSTM,Fósforo Total,207,28.12,7
148,Regressão Linear,Fósforo Total,207,27.32,8
149,Random Forest,Fósforo Total,207,28.53,8
150,MLP,Fósforo Total,207,28.26,8
151,LSTM,Fósforo Total,207,28.44,8
152,Regressão Linear,Fósforo Total,207,27.61,9
153,Random Forest,Fósforo Total,207,26.94,9
154,MLP,Fósforo Total,207,28.12,9
155,LSTM,Fósforo Total,207,28.17,9
156,Regressão Linear,Fósforo Total,207,27.89,10
157,Random Forest,Fósforo Total,207,27.94,10
158,MLP,Fósforo Total,207,27.51,10
159,LSTM,Fósforo Total,207,28.25,10
160,Regressão Linear,Sólido Total,207,14.53,1
161,Random Forest,Sólido Total,207,26.98,1
162,MLP,Sólido Total,207,17.79,1
163,LSTM,Sólido Total,207,18.82,1
164,Regressão Linear,Sólido Total,207,13.53,2
165,Random Forest,Sólido Total,207,21.84,2
166,MLP,Sólido Total,207,18.51,2
167,LSTM,Sólido Total,207,16.59,2
168,Regressão Linear,Sólido Total,207,11.73,3
169,Random Forest,Sólido Total,207,20.99,3
170,MLP,Sólido Total,207,17.84,3
171,LSTM,Sólido Total,207,16.95,3
172,Regressão Linear,Sólido Total,207,11.43,4
173,Random Forest,Sólido Total,207,25.2,4
174,MLP,Sólido Total,207,15.53,4
175,LSTM,Sólido Total,207,19.18,4
176,Regressão Linear,Sólido Total,207,8.6,5
177,Random Forest,Sólido Total,207,11.15,5
178,MLP,Sólido Total,207,8.73,5
179,LSTM,Sólido Total,207,13.36,5
180,Regressão Linear,Sólido Total,207,6.44,6
181,Random Forest,Sólido Total,207,6.94,6
182,MLP,Sólido Total,207,12.96,6
183,LSTM,Sólido Total,207,12.76,6
184,Regressão Linear,Sólido Total,207,6.72,7
185,Random Forest,Sólido Total,207,8.72,7
186,MLP,Sólido Total,207,9.15,7
187,LSTM,Sólido Total,207,11.98,7
188,Regressão Linear,Sólido Total,207,6.91,8
189,Random Forest,Sólido Total,207,9.51,8
190,MLP,Sólido Total,207,11.4,8
191,LSTM,Sólido Total,207,12.75,8
192,Regressão Linear,Sólido Total,207,6.2,9
193,Random Forest,Sólido Total,207,8.38,9
194,MLP,Sólido Total,207,18.67,9
195,LSTM,Sólido Total,207,11.41,9
196,Regressão Linear,Sólido Total,207,5.72,10
197,Random Forest,Sólido Total,207,7.57,10
198,MLP,Sólido Total,207,8.73,10
199,LSTM,Sólido Total,207,11.2,10
200,Regressão Linear,"DBO (5, 20)",205,60.45,1
201,Random Forest,"DBO (5, 20)",205,75.06,1
202,MLP,"DBO (5, 20)",205,70.67,1
203,LSTM,"DBO (5, 20)",205,91.14,1
204,Regressão Linear,"DBO (5, 20)",205,50.22,2
205,Random Forest,"DBO (5, 20)",205,72.37,2
206,MLP,"DBO (5, 20)",205,65.48,2
207,LSTM,"DBO (5, 20)",205,88.54,2
208,Regressão Linear,"DBO (5, 20)",205,48.45,3
209,Random Forest,"DBO (5, 20)",205,78.62,3
210,MLP,"DBO (5, 20)",205,59.38,3
211,LSTM,"DBO (5, 20)",205,79.27,3
212,Regressão Linear,"DBO (5, 20)",205,51.8,4
213,Random Forest,"DBO (5, 20)",205,84.77,4
214,MLP,"DBO (5, 20)",205,66.33,4
215,LSTM,"DBO (5, 20)",205,84.71,4
216,Regressão Linear,"DBO (5, 20)",205,42.21,5
217,Random Forest,"DBO (5, 20)",205,83.53,5
218,MLP,"DBO (5, 20)",205,64.01,5
219,LSTM,"DBO (5, 20)",205,83.12,5
220,Regressão Linear,"DBO (5, 20)",205,38.15,6
221,Random Forest,"DBO (5, 20)",205,80.85,6
222,MLP,"DBO (5, 20)",205,66.55,6
