,data_coleta,observado,previsao
0,2006-11-30,-3.912022955428147,-3.235921859741211
1,2006-12-31,-2.995732253553991,-3.2487566471099854
2,2007-08-31,-3.218875799868201,-3.231315851211548
3,2007-09-30,-3.218875799868201,-3.2422916889190674
4,2007-11-30,-3.218875799868201,-3.258934736251831
5,2008-03-31,-3.912022955428147,-3.2865796089172363
6,2008-04-30,-3.912022955428147,-3.2686266899108887
7,2008-07-31,-2.3025850829940455,-3.2820849418640137
8,2008-08-31,-3.1010927669895954,-3.2872426509857178
9,2008-11-30,-2.8134107000933697,-3.2899844646453857
10,2009-07-31,-3.688879414113937,-3.2897696495056152
11,2009-08-31,-3.912022955428147,-3.2670578956604004
12,2009-10-31,-2.8134107000933697,-3.245527505874634
13,2009-11-30,-2.5257286318082555,-3.2729785442352295
14,2010-03-31,-3.912022955428147,-3.2762069702148438
15,2010-05-31,-3.506557863986649,-3.290416717529297
16,2010-07-31,-2.590267152112493,-3.279388427734375
17,2010-09-30,-2.995732253553991,-3.257411241531372
18,2010-11-30,-3.912022955428147,-3.266223907470703
19,2011-03-31,-3.506557863986649,-3.28847599029541
20,2011-05-31,-3.218875799868201,-3.2706210613250732
21,2011-06-30,-2.2072749040988118,-3.2642533779144287
22,2011-07-31,-4.074541876102393,-3.2824316024780273
23,2011-08-31,-4.961844987069691,-3.291700839996338
24,2011-11-30,-4.961844987069691,-3.2798404693603516
25,2012-05-31,-2.8647039936037273,-3.2903831005096436
26,2012-07-31,-3.506557863986649,-3.312176465988159
27,2012-09-30,-4.961844987069691,-3.368779182434082
28,2012-11-30,-4.961844987069691,-3.3713996410369873
29,2013-04-30,-3.218875799868201,-3.3471195697784424
30,2013-05-31,-2.8134107000933697,-3.3185720443725586
31,2013-06-30,-2.995732253553991,-3.3521440029144287
32,2013-09-30,-3.912022955428147,-3.361239194869995
33,2013-10-31,-2.995732253553991,-3.316737174987793
34,2013-11-30,-3.218875799868201,-3.26542329788208
35,2014-01-31,-3.506557863986649,-3.265089511871338
36,2014-05-31,-4.605170085988096,-3.279076337814331
37,2014-07-31,-4.605170085988096,-3.295537233352661
38,2014-09-30,-3.506557863986649,-3.29140043258667
39,2014-11-30,-3.506557863986649,-3.3192896842956543
40,2014-12-31,-3.218875799868201,-3.3424885272979736
41,2015-01-31,-3.912022955428147,-3.354553699493408
42,2015-05-31,-2.995732253553991,-3.3270962238311768
43,2015-07-31,-2.995732253553991,-3.293013334274292
44,2015-09-30,-2.995732253553991,-3.288632869720459
45,2015-11-30,-2.995732253553991,-3.280970811843872
46,2016-07-31,-3.218875799868201,-3.279690742492676
47,2016-09-30,-2.5257286318082555,-3.2549233436584473
48,2016-10-31,-2.995732253553991,-3.254411220550537
49,2017-07-31,-3.912022955428147,-3.253056526184082
50,2017-09-30,-2.8705691129529263,-3.255140781402588
51,2017-11-30,-2.407945597540761,-3.258620500564575
52,2018-05-31,-3.912022955428147,-3.2528445720672607
53,2018-08-31,-2.407945597540761,-3.2705483436584473
54,2018-09-30,-3.912022955428147,-3.2743113040924072
55,2018-10-31,-3.218875799868201,-3.2507829666137695
56,2018-11-30,-4.199705011213263,-3.2593166828155518
57,2019-09-30,-3.218875799868201,-3.2892677783966064
