data_coleta,observado,previsao
2001-09-30,3.7135720667286978,2.3972079753875732
2001-11-30,1.9459101491981705,-1.4908137321472168
2002-03-31,5.480638923346158,-2.8489327430725098
2002-05-31,3.610917912671251,-7.994709014892578
2002-07-31,2.0794415418048358,1.907509684562683
2002-09-30,3.988984046582793,2.762049436569214
2003-01-31,4.78749174279038,2.459721326828003
2003-04-30,2.8332133441150398,3.244377851486206
2003-05-31,3.7135720667286978,2.455366373062134
2003-09-30,3.526360524645573,2.5308597087860107
2003-10-31,2.639057329686687,2.7967944145202637
2004-03-31,4.605170185998092,2.954397439956665
2004-05-31,3.0910424534037704,2.649705410003662
2004-07-31,3.6635616461552876,2.3803231716156006
2004-09-30,3.5835189384838877,2.8610944747924805
2004-10-31,4.158883083375297,2.3453216552734375
2005-01-31,4.852030263927429,3.147017240524292
2005-03-31,5.192956850895766,2.7041192054748535
2005-07-31,2.639057329686687,3.0560672283172607
2005-09-30,3.367295830020957,2.8103673458099365
2005-12-31,4.330733340299489,3.4456071853637695
2006-07-31,3.0680529351801287,3.2691311836242676
2006-08-31,4.997212273770872,3.0158097743988037
2006-10-31,4.52178857705991,2.7638139724731445
2006-12-31,1.0986122890014431,2.6552069187164307
2007-08-31,4.718498871304023,2.7941806316375732
2007-09-30,4.897839799958374,3.203700542449951
2007-11-30,4.973279507559408,3.0750110149383545
2008-03-31,3.828641396510834,3.2005739212036133
2008-04-30,2.0794415418048358,2.1608846187591553
2008-07-31,3.2580965380599434,3.3299918174743652
2008-08-31,4.276666119029945,3.4374101161956787
2008-11-30,5.278114659235619,3.0273616313934326
2009-07-31,3.4339872045174045,2.7970430850982666
2009-08-31,4.382026634686381,2.145317792892456
2009-11-30,5.662960480139418,3.1878504753112793
2010-03-31,4.882801922593947,3.4068171977996826
2010-05-31,3.828641396510834,3.586273193359375
2010-07-31,3.401197381695489,3.177319288253784
2010-09-30,3.526360524645573,3.4811291694641113
2010-11-30,4.158883083375297,3.678774118423462
2011-03-31,3.6888794541389363,3.272512674331665
2011-05-31,4.094344562238767,2.7483036518096924
2011-07-31,1.0986122890014431,2.8416175842285156
2011-08-31,2.8332133441150398,2.3352136611938477
2011-11-30,4.2626798770554,3.066960096359253
