data_coleta,observado,previsao
2006-12-31,1.8562979905218762,1.6320303678512573
2007-07-31,1.7404661750159431,1.4851795434951782
2007-08-31,1.4109869739541645,1.3222925662994385
2007-09-30,1.373715579166195,1.239075779914856
2007-11-30,1.4231083344835709,1.457147240638733
2008-03-31,0.9555114454120518,1.4750869274139404
2008-04-30,1.8718021770554376,1.375009298324585
2008-07-31,1.9740810261608985,1.5842407941818237
2008-08-31,1.0986122890014431,1.4810986518859863
2008-11-30,1.3862943613698906,1.3045728206634521
2009-07-31,1.887069649183895,1.3845665454864502
2009-08-31,1.1314021118136812,1.6439945697784424
2009-09-30,1.6292405399263585,1.435897946357727
2009-10-31,0.4700036298707357,1.3776310682296753
2009-11-30,1.3083328199204491,1.5284264087677002
2010-03-31,0.8329091233698865,1.7083072662353516
2010-05-31,1.9021075265461742,1.4534956216812134
2010-07-31,1.4469189831716196,1.6521908044815063
2010-09-30,1.8245492922123363,1.3063844442367554
2010-11-30,1.686398953755414,1.4176390171051025
2011-03-31,1.1939224687754648,1.2843505144119263
2011-05-31,1.8082887713431999,1.3222620487213135
2011-06-30,1.458615022932075,1.548770785331726
2011-07-31,1.9459101491981705,1.505056619644165
2011-08-31,1.9315214117481414,1.5620825290679932
2011-11-30,1.2237754319162333,1.3852564096450806
2012-01-31,1.0986122890014431,1.3692491054534912
2012-05-31,1.9740810261608985,1.3590694665908813
2012-07-31,1.6389967148698197,1.7720876932144165
2012-09-30,1.547562508928779,1.4875644445419312
2012-11-30,1.534714366453681,1.3028205633163452
2013-04-30,2.014903020675598,1.2813273668289185
2013-05-31,1.8453002363140627,1.664810061454773
2013-06-30,0.8501509297969605,1.4429659843444824
2013-09-30,1.8900953700999743,1.3700010776519775
2013-10-31,1.6292405399263585,1.7422640323638916
2013-11-30,1.7101878157150754,1.6702061891555786
2014-01-31,0.47623417961748976,1.47671377658844
2014-05-31,1.9315214117481414,1.4860016107559204
2014-07-31,1.8855533486661609,1.9448918104171753
2014-09-30,1.9837562916829796,1.6447943449020386
2014-11-30,1.8547342685459378,1.5100047588348389
2014-12-31,1.2612978712284915,1.3517723083496094
2015-01-31,1.6292405399263585,1.4200211763381958
2015-05-31,1.450442181178109,1.6243855953216553
2015-07-31,1.9768549530432389,1.5428508520126343
2015-09-30,1.7950872594868426,1.6266010999679565
2015-11-30,1.576914720935152,1.3566259145736694
2016-01-31,1.0473189946314365,1.3596835136413574
2016-07-31,1.693779061051675,1.3697419166564941
2016-09-30,1.4024137432457762,1.7150804996490479
2016-10-31,1.6054298912373648,1.503965973854065
2016-11-30,1.2412685893586501,1.4212205410003662
2017-07-31,1.8515994697410578,1.268953561782837
2017-09-30,1.4624834997090972,1.5764224529266357
2017-11-30,1.108562619851311,1.3798772096633911
2018-05-31,1.826160896106418,1.2477127313613892
2018-08-31,0.9082585605801167,1.5170024633407593
2018-09-30,1.9198594720019984,1.522047996520996
2018-10-31,1.3083328199204491,1.6184241771697998
2018-11-30,1.4609379043476751,1.4685152769088745
2019-09-30,0.8544153285815996,1.4355425834655762
