,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste,TECNICA
7,turbidez,13.312662222222226,0.21330222222222225,0.004935344434926304,0.20121444444444445,11.325186666666665,0.2090533333333333,0.00465863276716026,0.011008888888888893,MLP (UNIVARIADA)
6,turbidez,13.628973333333333,0.21750444444444444,0.00452471593815431,0.1551111111111111,11.464916666666666,0.21025111111111108,0.004228025835911579,0.0073333333333333315,MLP (VAR. SELEC.)
7,turbidez,17.759513333333334,0.07260666666666668,0.0012953592380322745,0.9393333333333332,11.620286666666667,0.2109133333333333,0.0038038343228321008,0.02533333333333334,RF (TODAS VAR.)
6,turbidez,14.024893333333333,0.22231888888888887,0.0018577053414905445,0.15055555555555555,11.845762222222225,0.21408000000000002,0.00545060377219639,0.005888888888888889,LSTM (VAR. SELEC.)
7,turbidez,13.870555555555557,0.21977777777777785,0.0008314794192830967,0.18344444444444447,11.838222222222221,0.21411111111111109,0.005335647646019104,0.0025555555555555553,LSTM (UNIVARIADA)
7,turbidez,14.827111111111114,0.2245555555555555,0.003130889511912305,0.0641111111111111,12.066888888888887,0.21922222222222226,0.0044249572781644144,0.009333333333333334,MLP (TODAS VAR.)
7,turbidez,14.629555555555555,0.22311111111111115,0.00249938263982267,0.1171111111111111,12.337111111111113,0.22144444444444444,0.0045893058729029775,0.010555555555555558,LSTM (TODAS VAR.)
7,turbidez,11.212,0.19,2.7755575615628914e-17,0.30666666666666664,12.270000000000005,0.2340000000000001,0.004898979485566346,0.018000000000000002,RL (UNIVARIADA)
7,turbidez,4.340646666666667,0.07597333333333332,0.004925507306077439,0.9274133333333332,12.408473333333335,0.23412666666666665,0.006674775069035822,0.01641333333333334,RF (UNIVARIADA)
6,turbidez,4.2530133333333335,0.07451333333333335,0.0018675712094113645,0.9333333333333332,12.848986666666667,0.23959333333333335,0.0035924859854362078,0.010000000000000002,RF (VAR. SELEC.)
6,turbidez,11.140573333333334,0.18752666666666667,0.0030645209884888826,0.33143333333333336,12.414060000000005,0.24013333333333334,0.006464020076976519,0.010573333333333334,RL (VAR. SELEC.)
7,turbidez,17.033839999999998,0.16994666666666666,0.011653661322615402,0.45,14.936206666666665,0.28131333333333336,0.04302467302477602,0.004666666666666667,RL (TODAS VAR.)
