,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste,TECNICA
1,coliformes,10.655393333333333,0.2171,0.005616285842678123,0.9153333333333332,49.9213,1.4450466666666668,0.025211158023559516,0.00933333333333333,RF (TODAS VAR.)
1,coliformes,2.8859000000000004,0.21580666666666665,0.007405895549417969,0.91016,48.82480000000001,1.4457666666666666,0.036208648445119056,0.00892666666666667,RF (UNIVARIADA)
1,coliformes,7.518000000000002,0.5440000000000002,0.014047538337136985,0.21133333333333326,49.04133333333333,1.4473333333333336,0.018427033281447017,0.004666666666666667,RL (UNIVARIADA)
1,coliformes,2.9180133333333336,0.21606666666666668,0.006830780010771507,0.9093333333333332,49.30992666666667,1.455226666666667,0.03276480767870037,0.006666666666666665,RF (VAR. SELEC.)
1,coliformes,7.465366666666667,0.5349466666666667,0.016659086276130372,0.22976,49.39342666666667,1.45924,0.01650037575329728,0.004933333333333335,RL (VAR. SELEC.)
1,coliformes,10.50934,0.48983999999999994,0.0368451498391127,0.3493333333333333,51.69241333333333,1.5332733333333333,0.03477379217488685,0.004,RL (TODAS VAR.)
1,coliformes,8.361253333333334,0.6008544444444444,0.0044750314158494425,0.12667555555555554,52.885217777777775,1.5485022222222218,0.010611797883534514,0.008638888888888889,MLP (UNIVARIADA)
1,coliformes,9.069672222222222,0.6369999999999999,0.010622354136791329,0.023111111111111117,54.391584444444455,1.5889466666666665,0.01054226625435807,0.007444444444444445,MLP (VAR. SELEC.)
1,coliformes,8.747777777777777,0.6266666666666668,0.012866839377079213,0.14555555555555558,55.49766666666667,1.6152222222222223,0.022834887754605463,0.006,LSTM (UNIVARIADA)
1,coliformes,8.957312222222223,0.6375677777777777,0.007396043653764841,0.025222222222222226,56.027104444444454,1.6297366666666662,0.018227047667317576,0.0061111111111111106,LSTM (VAR. SELEC.)
1,coliformes,8.972777777777777,0.6405555555555557,0.004700932400290279,0.0051111111111111105,56.588888888888896,1.6451111111111107,0.011994854864060515,0.0037777777777777775,LSTM (TODAS VAR.)
1,coliformes,9.217222222222222,0.6592222222222223,0.00999753055929065,0.019111111111111117,56.90777777777776,1.6531111111111108,0.010573668669662572,0.005333333333333331,MLP (TODAS VAR.)
