,tecnica,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
3,LSTM (var. selec.),fosforo,92.90687666666666,0.10860444444444443,0.004094800075012332,0.30478222222222223,139.08097888888886,0.11916666666666666,0.0011614486484399426,0.05262111111111111
3,RF (Var. selec.),fosforo,76.16937333333333,0.09647333333333337,0.0023158775634495197,0.2706133333333334,140.28673999999998,0.11934666666666667,0.0012208558018410244,0.05389333333333333
3,MLP (var. selec.),fosforo,95.34241333333334,0.11131888888888887,0.0035410704944851858,0.13787555555555556,141.0584333333333,0.1206088888888889,0.001475451803581315,0.02039888888888889
3,RL (Var. selec.),fosforo,73.53884000000001,0.09551333333333334,0.0010769504270031279,0.2928266666666667,148.78514666666666,0.12752666666666665,0.0042387838926853634,0.025406666666666668
3,RL (Todas var.),fosforo,109.65,0.14,0.01,0.03,151.76,0.16,0.01,0.01
3,RF (Todas var.),fosforo,126.1,0.13,0.01,0.14,182.55,0.16,0.01,0.02
3,LSTM (Todas var.),fosforo,489.81,0.66,0.0,0.12,611.93,0.65,0.0,0.02
3,MLP (Todas var.),fosforo,490.77,0.66,0.0,0.08,613.18,0.65,0.0,0.01
3,RL (Univar.),fosforo,87.70200000000001,2.103333333333334,0.004714045207910216,0.3086666666666666,86.63066666666668,2.116,0.008000000000000021,0.03933333333333333
3,RF (Univar.),fosforo,87.63866666666668,2.101333333333334,0.0033993463423951163,0.19733333333333333,87.16333333333334,2.13,0.005163977794943228,0.002
3,LSTM (Univar.),fosforo,88.02182111111111,2.1113988888888886,0.0021531154573870576,0.34228444444444445,87.60606111111113,2.1400977777777768,0.006312274540650396,0.027584444444444446
3,MLP (Univar.),fosforo,87.97216666666668,2.110523333333333,0.0024742211644010947,0.19384222222222225,87.83822666666669,2.1457855555555554,0.006813113354425153,0.016568888888888886
