valor_coliformes,valor_dbo,valor_fosforo,valor_od,valor_ph,valor_solido,valor_temperatura,valor_turbidez
164083.33333333334,28.0,1.9959999999999998,1.1333333333333333,7.086666666666666,277.3333333333333,23.733333333333334,57.35
1276794.9047619049,37.095238095238095,1.0588095238095239,1.1466666666666667,7.088095238095237,478.7142857142857,21.871904761904766,75.21904761904761
1891879.9090909092,40.36363636363637,1.1566363636363635,1.111818181818182,7.001818181818181,447.0,24.104545454545452,56.18181818181818
1317703.8333333333,17.333333333333332,1.4583333333333333,1.9083333333333332,6.953333333333333,437.1666666666667,22.5,29.933333333333334
1316808.0,27.833333333333332,0.9599999999999999,1.6716666666666666,6.8,403.3333333333333,21.5,44.451666666666675
7900.0,20.0,0.8060246746375308,2.85,7.41,302.0,23.16,62.0
369.0,35.75,1.5375,1.87,6.955,296.0,22.375,16.875
1186041.142857143,29.285714285714285,0.4371428571428572,2.1985714285714284,6.128571428571428,261.0,21.371428571428574,32.77981265288946
790000.0,18.0,0.3,2.7,6.8,595.0,19.0,22.0
1838.4,22.6,1.104,2.692,6.998,468.6,22.881999999999998,43.438
1633600.3333333333,10.666666666666666,0.8783333333333333,1.6733333333333331,6.199999999999999,599.3333333333334,22.733333333333334,32.77981265288946
790000.0,9.0,0.25,1.2,6.2,305.0,22.0,70.0
91.0,10.0,0.53,2.42,7.050000000000001,156.0,22.3,32.5
1157000.0,33.0,0.6875,1.675,6.4,574.0,23.05,48.5
4766667.333333333,26.666666666666668,0.6366666666666666,0.8133333333333334,6.721295835051191,339.6666666666667,20.3,32.77981265288946
3300.0,46.0,1.34,1.84,7.33,542.0,21.537794017425632,50.0
4333338.0,39.0,0.5383333333333333,1.7833333333333332,6.366666666666667,237.66666666666666,21.266666666666666,32.77981265288946
79.0,11.0,0.05,5.1,6.9,55.0,21.563681249570536,5.0
657.625,22.125,0.42625,4.065,6.8500000000000005,154.5,22.125,22.98625
833697.5,13.5,1.5,1.27,6.6674999999999995,265.75,21.9,33.7025
2560025.4,10.2,0.575,1.302,6.721295835051191,436.6,22.080000000000002,32.56
1101150.0,26.0,0.575,3.925,7.4,278.6302498110355,23.0,47.2
2225753.449229885,17.0,0.155,1.5,6.0,542.0,18.0,32.77981265288946
1151196.6666666667,15.333333333333334,0.75,2.4083333333333337,6.333333333333333,252.5,21.166666666666668,36.483333333333334
710.5,28.25,0.29,3.3075,7.175,168.75,21.200000000000003,31.75
1800006.25,21.75,0.6075,1.01,6.6725,444.0,22.5,39.2
466677.6666666667,5.0,0.19166666666666665,1.8399999999999999,6.3,128.66666666666666,20.066666666666666,34.63333333333333
170.0,19.0,0.84,2.3,7.16,354.0,24.8,13.0
1800377.6666666667,26.0,0.3216666666666666,2.276666666666667,6.738206321190932,160.33333333333334,20.3,54.76666666666667
854.5,30.0,0.735,7.5,6.75,140.0,24.45,37.4
358.75,15.25,0.753,6.2124999999999995,6.7875000000000005,264.875,22.55,20.637500000000003
399.0,18.5,0.985,2.3,7.199999999999999,189.0,24.6,33.85
733399.0,20.666666666666668,0.7758333333333333,2.393333333333333,6.3999999999999995,348.5,21.916666666666668,23.833333333333332
2225753.449229885,29.666666666666668,0.548,1.6366666666666667,6.6000000000000005,374.6666666666667,22.0,46.153333333333336
1580090.2,20.8,0.85,2.626,6.2,365.0,21.619999999999997,72.58
1633446.6666666667,17.0,0.11566666666666665,1.7,6.699999999999999,340.0,22.3,30.666666666666668
2225753.449229885,30.75,0.8962499999999999,3.4825,6.324999999999999,323.25,22.05,58.2
11.5,24.25,1.03,5.300000000000001,6.625,143.25,21.575,32.77981265288946
1533383.6666666667,20.243003346757163,0.291,0.3866666666666667,6.966666666666666,360.6666666666667,20.666666666666668,62.23333333333333
1265000.0,8.0,0.237,3.6,6.4,286.5,23.0,21.5
1666723.3333333333,22.0,0.9766666666666667,0.7933333333333333,6.5,328.6666666666667,20.0,32.77981265288946
1150165.0,14.5,0.388,0.8999999999999999,6.449999999999999,374.5,24.0,48.5
120.0,19.385173857171754,1.4500000000000002,4.95,7.15,296.0,18.55,37.3
632502.0,34.75,1.1135,2.0,6.85,351.5,23.7,35.85
2733370.0,15.333333333333334,0.7743333333333333,1.4666666666666668,6.56,270.6666666666667,25.0,33.666666666666664
2.0,37.0,0.8060246746375308,0.9,7.09,380.0,22.5,28.71506291436398
528396.8888888889,19.333333333333332,0.6402222222222222,1.2022222222222223,6.661111111111111,279.44444444444446,21.288888888888888,37.52222222222222
790.0,20.243003346757163,1.21,1.6,6.95,204.0,24.95,48.0
230.0,19.0,0.42100000000000004,5.6,7.1,358.0,20.9,24.1
2225753.449229885,17.0,0.21266666666666664,0.26666666666666666,6.333333333333333,225.33333333333334,24.666666666666668,21.333333333333332
733444.0,23.666666666666668,0.23266666666666666,2.6,6.409999999999999,345.3333333333333,22.310000000000002,55.53333333333333
790.0,22.25574958771386,0.75,0.9,7.11,254.0,20.6,43.5
2225753.449229885,8.8,0.409,0.82,6.859999999999999,335.0,21.7,52.44
2810123.0,11.0,0.7055,1.5750000000000002,6.61,321.75,23.0975,53.65
1760000.0,8.5,0.14,0.45,6.3,289.0,20.5,32.77981265288946
6600.0,26.5,1.45,5.7,6.6850000000000005,237.0,20.85,33.65
1076156.857142857,22.857142857142858,0.6467142857142856,3.2471428571428578,6.682857142857143,325.7142857142857,22.52857142857143,29.34944816859275
1404.5,18.5,0.9550000000000001,5.47,6.845,248.0,23.05,19.65
2935185.0,18.75,0.727625,1.3875,6.91375,302.5,20.0,30.75625
675823.4,15.0,0.38720000000000004,1.9060000000000001,6.711999999999999,314.8,21.419999999999998,63.08
960979.25,27.083333333333332,1.16025,2.7383333333333333,6.662499999999999,247.66666666666666,22.066666666666666,40.19416666666667
2776666.6666666665,11.0,0.6496666666666666,0.1366666666666667,6.8999999999999995,273.3333333333333,22.03333333333333,39.056666666666665
2225753.449229885,21.0,0.6136666666666667,0.9666666666666668,6.633333333333333,337.6666666666667,23.03333333333333,54.0
2440000.0,7.333333333333333,0.29833333333333334,0.4000000000000001,6.3999999999999995,275.0,24.400000000000002,69.0
2225753.449229885,21.5,0.5115,0.55,6.4,241.5,18.0,29.0
651.0,8.5,1.295,2.355,6.7,108.0,21.6,20.04
333333.3333333333,8.0,1.0946666666666667,1.9666666666666668,6.533333333333334,270.3333333333333,20.8,33.403333333333336
1243333.3333333333,17.0,1.1603333333333334,1.0,6.533333333333334,206.0,23.366666666666664,54.0
42.0,16.0,1.4675,6.05,6.96,253.0,22.634999999999998,25.75
86.0,31.0,0.41000000000000003,4.55,6.895,198.0,24.85,33.775
1580305.0,12.4,1.283,4.122,6.825999999999999,220.2,20.312,27.112000000000002
711.5,29.0,0.41500000000000004,3.9099999999999997,6.705,182.0,21.65,17.05
243702.14285714287,19.428571428571427,0.8714285714285716,5.055714285714286,6.7385714285714275,192.71428571428572,22.857142857142858,33.932857142857145
1272502.125,22.875,0.9049999999999999,1.955,6.77125,300.375,22.075,55.6625
4900000.0,17.0,0.7,0.0,6.2,230.0,21.586677769972543,25.0
263452.0,19.666666666666668,0.4333333333333334,3.34,6.623333333333332,230.0,22.133333333333336,15.266666666666666
550395.0,9.5,0.645,2.7,7.1,391.0,17.65,75.7
2300000.0,6.0,0.7,0.0,6.7,200.0,23.0,50.0
2050333.25,10.75,0.65875,3.05,6.879999999999999,248.75,22.3925,21.1
1055996.0,13.0,1.002,1.4899999999999998,6.618,220.0,23.9,27.788000000000004
1561624.0,31.8,0.7260000000000001,0.884,6.87,245.2,22.48,25.2
79000.0,19.0,0.31,0.1,7.1,466.0,20.6,43.3
2225753.449229885,12.0,0.23500000000000001,0.2,6.5,216.5,18.0,42.0
1968300.0,31.333333333333332,0.6166666666666667,0.9333333333333335,6.833333333333333,418.6666666666667,23.666666666666668,32.77981265288946
1634156.6666666667,17.333333333333332,1.0066666666666668,5.363333333333333,6.803333333333334,222.0,22.74,15.666666666666666
1674500.0,28.5,0.9149999999999999,0.15000000000000002,6.75,240.5,21.7,56.35
454000.0,20.0,0.43999999999999995,0.625,6.925,325.75,21.125,49.55
4001.0,2.0,0.45999999999999996,5.54,6.63,168.0,21.1,39.525
566.5,9.0,1.5499999999999998,4.725,6.8100000000000005,250.0,22.05,15.415
915.0,3.5,0.53,5.970000000000001,6.555,276.0,24.15,7.74
3071000.0,12.0,0.8133333333333334,1.3999999999999997,6.866666666666667,288.0,22.166666666666668,37.1
860220.8,14.0,0.48600000000000004,1.812,6.882,231.2,19.64,26.736
875.0,3.0,1.48,5.890000000000001,6.725,250.0,19.6,31.89
1790000.0,48.333333333333336,0.25933333333333336,0.3666666666666667,6.833333333333333,308.3333333333333,18.466666666666665,19.433333333333334
853.5,2.5,0.08549999999999999,4.62,6.0,100.0,18.91,10.25
1525000.0,12.5,0.6586666666666666,0.20000000000000004,6.8,319.8333333333333,21.583333333333332,32.68333333333334
1768333.3333333333,7.666666666666667,0.7200000000000001,0.13333333333333333,6.966666666666666,334.6666666666667,20.666666666666668,32.77981265288946
4503.25,2.25,0.0485,2.82,6.074999999999999,80.5,19.75,7.39
2671250.0,18.333333333333332,0.6858333333333334,0.22833333333333336,6.8,341.5,22.7,39.233333333333334
404.5,2.0,0.0375,2.85,6.550000000000001,95.0,20.2,9.125
900.0,2.5,0.0125,3.3449999999999998,6.5,75.5,22.15,3.455
2225753.449229885,16.666666666666668,0.8333333333333334,0.19999999999999998,6.6000000000000005,295.6666666666667,20.2,34.5
1226666.6666666667,17.0,0.7266666666666666,0.7333333333333334,6.666666666666667,275.0,23.733333333333334,40.733333333333334
400005.6666666667,20.666666666666668,0.6566666666666666,1.7333333333333334,6.866666666666667,289.6666666666667,25.0,29.34944816859275
1400.0,3.0,0.0325,3.3,6.35,131.0,19.75,9.379999999999999
4602011.4,11.4,0.31500000000000006,2.0740000000000003,6.5600000000000005,207.4,23.520000000000003,29.76
1323.75,2.5,0.05225,5.38,6.575,96.0,19.7,11.829999999999998
1151.0,3.0,0.1145,4.475,6.4,94.5,19.85,16.355
132260.4,23.2,0.5154,3.4840000000000004,6.7,166.6,21.18,25.32
633333.3333333334,23.666666666666668,0.5599999999999999,1.5333333333333332,6.733333333333333,281.3333333333333,20.5,24.3
375.0,3.5,0.016,4.755,6.05,69.5,21.3,39.9
367710.0,12.666666666666666,1.1633333333333333,1.366666666666667,7.0,177.66666666666666,19.7,36.833333333333336
800.0,3.0,0.06,2.49,6.550000000000001,81.5,19.5,3.01
1056666.6666666667,30.333333333333332,0.8083333333333332,1.5999999999999999,6.8,234.0,21.933333333333334,21.5
1172333.3333333333,26.666666666666668,0.5950000000000001,0.5666666666666668,6.8,301.0,21.599999999999998,58.06666666666666
1037666.6666666666,37.333333333333336,0.9966666666666667,0.3,6.8,277.6666666666667,21.866666666666664,30.0
254.0,2.0,0.056,4.2,6.25,84.0,21.45,2.56
1525.0,10.0,0.048,4.4,6.3,74.0,20.1,37.9
4002.0,2.5,0.10300000000000001,4.0,6.721295835051191,99.5,17.55,14.4
165.0,2.5,0.060000000000000005,3.25,6.25,69.5,24.55,21.79
915.0,3.0,0.026000000000000002,3.9,6.721295835051191,91.5,22.8,28.8
4703666.666666667,33.333333333333336,0.57,1.5333333333333332,6.766666666666667,297.6666666666667,22.7,68.16666666666667
1513333.3333333333,18.333333333333332,1.4233333333333336,1.7333333333333332,6.866666666666666,324.6666666666667,22.53333333333333,69.96666666666667
514333.3333333333,16.333333333333332,0.5383333333333332,1.0333333333333334,7.066666666666666,404.0,22.96666666666667,32.77981265288946
267433.3333333333,12.333333333333334,1.1700000000000002,0.9666666666666668,6.733333333333333,293.6666666666667,22.566666666666666,55.0
1116666.6666666667,33.0,0.8716666666666667,1.5,6.6000000000000005,274.0,23.066666666666666,45.666666666666664
2225753.449229885,13.0,0.6788000000000001,2.5799999999999996,6.5200000000000005,218.2,18.419999999999998,28.380000000000003
1508.5,2.0,0.0235,5.8,6.4,99.5,19.8,6.0600000000000005
1443333.3333333333,34.0,0.4483333333333333,0.17,6.7,295.6666666666667,20.966666666666665,30.46666666666667
1750000.0,21.333333333333332,2.016666666666667,0.06666666666666667,6.833333333333333,370.3333333333333,18.866666666666667,32.77981265288946
800000.0,5.0,0.125,0.0,6.0,149.0,20.0,6.4
