data_coleta,ph,coliformes,dbo,fosforo,od,solido,temperatura,turbidez
1978-01-31,6.415254237288135,5.93546647995339,22.0,1.443926834488568,3.39090909090909,334.23728813559325,21.322033898305083,59.28813559322034
1978-02-28,6.4040624159268225,5.931906412258033,21.091269841269842,1.443926834488568,3.4284722222222217,327.5944982512779,21.366626311541566,58.2998385794996
1978-03-31,6.392870594565509,5.928316920040913,20.182539682539684,1.443926834488568,3.4660353535353527,320.95170836696263,21.411218724778045,57.31154156577885
1978-04-30,6.381678773204197,5.924697512848903,19.273809523809526,1.443926834488568,3.5035984848484842,314.3089184826473,21.455811138014525,56.323244552058114
1978-05-31,6.370486951842883,5.921047687863309,18.365079365079364,1.443926834488568,3.5411616161616157,307.666128598332,21.500403551251008,55.33494753833737
1978-06-30,6.359295130481571,5.917366929480655,17.456349206349206,1.443926834488568,3.5787247474747472,301.0233387140167,21.54499596448749,54.34665052461663
1978-07-31,6.348103309120258,5.91365470887555,16.547619047619047,1.443926834488568,3.6162878787878787,294.3805488297014,21.58958837772397,53.35835351089588
1978-08-31,6.336911487758945,5.90991048354471,15.63888888888889,1.443926834488568,3.6538510101010098,287.7377589453861,21.63418079096045,52.37005649717514
1978-09-30,6.3257196663976325,5.9061336968311595,14.730158730158731,1.443926834488568,1.8408392939213136,281.09496906107074,21.678773204196933,51.3817594834544
1978-10-31,6.314527845036319,5.902323777427548,13.821428571428571,1.443926834488568,1.890795727865022,274.45217917675546,21.723365617433416,50.393462469733656
1978-11-30,6.303336023675007,5.898480138857505,12.912698412698413,1.443926834488568,1.890795727865022,267.80938929244013,21.767958030669895,49.40516545601292
1978-12-31,6.292144202313693,5.894602178933821,12.003968253968255,1.443926834488568,1.890795727865022,261.16659940812485,21.812550443906375,48.41686844229217
1979-01-31,6.280952380952381,5.890689279192232,11.095238095238095,0.23204285714285716,1.890795727865022,254.52380952380952,21.857142857142858,47.42857142857143
1979-02-28,6.147058823529412,5.718524694972672,23.176470588235293,0.41705882352941176,2.56923076923077,235.0,21.058823529411764,63.8235294117647
1979-03-31,6.228571428571428,5.642925704340274,14.5,0.24128571428571427,2.7,202.21428571428572,20.357142857142858,46.5
1979-04-30,6.057142857142857,5.647325535482979,16.0,0.37,3.4,455.2857142857143,19.0,34.662997973454594
1979-05-31,6.5,5.827800314124227,25.0,0.5063333333333333,1.1500000000000001,275.3333333333333,22.0,57.666666666666664
1979-06-30,6.812230641646682,5.854920276480076,26.75,0.28075,2.094253014199795,272.78516100566725,23.0,34.662997973454594
1979-07-31,6.812230641646682,5.827800314124227,20.5625,0.2218125,2.2639738585053117,399.5,22.5,65.25
1979-08-31,6.812230641646682,6.246139536285812,14.375,0.162875,2.2639738585053117,292.0,22.0,46.5
1979-09-30,5.96875,5.945129252359288,8.1875,0.10393749999999999,2.2639738585053117,184.5,21.5,27.75
1979-10-31,6.1,5.771289402907925,2.0,0.045,2.2639738585053117,77.0,21.0,9.0
1979-11-30,6.236111111111111,5.771289402907925,2.9166666666666665,0.06402777777777778,2.2639738585053117,104.22222222222221,20.75,20.138888888888886
1979-12-31,6.372222222222222,5.771289402907925,3.833333333333333,0.08305555555555556,2.094253014199795,131.44444444444443,20.5,31.277777777777775
1980-01-31,6.508333333333333,5.771289402907925,4.75,0.10208333333333335,1.9841630501722634,158.66666666666666,20.25,42.416666666666664
1980-02-29,6.494117647058823,6.055733366778615,22.823529411764707,0.6408823529411765,2.645454545454545,332.29411764705884,20.941176470588236,34.662997973454594
1980-03-31,6.633333333333333,5.919975485943837,25.666666666666668,1.443926834488568,2.893560606060606,307.0,22.0,34.662997973454594
1980-04-30,6.4125,5.81790269260765,6.5,0.29218750000000004,3.141666666666667,212.1875,21.9375,50.9375
1980-05-31,6.8428571428571425,6.013153463855759,21.142857142857142,0.8098571428571428,2.88,304.42857142857144,21.714285714285715,30.95351933777893
1980-06-30,6.025,5.55115620087644,16.25,0.433,2.8333333333333335,256.25,19.75,63.75
1980-07-31,6.25,5.771289402907925,4.0,0.239,0.7,167.5,23.0,26.0
1980-08-31,6.025,6.130610100959324,9.0,0.32925000000000004,2.6666666666666665,147.5,22.25,22.25
1980-09-30,6.066666666666667,6.036789690267146,8.3,0.2874555555555556,3.169047619047619,147.6888888888889,21.855555555555554,22.515555555555554
1980-10-31,6.108333333333333,5.916951943457015,7.6,0.24566111111111114,1.8408392939213136,147.8777777777778,21.461111111111112,22.78111111111111
1980-11-30,6.15,5.750886367368936,6.9,0.2038666666666667,1.9474630599744078,148.06666666666666,21.066666666666666,23.046666666666667
1980-12-31,6.191666666666666,5.478615332941537,6.2,0.16207222222222223,2.094253014199795,148.25555555555556,20.672222222222224,23.31222222222222
1981-01-31,6.233333333333333,5.771289402907925,5.5,0.12027777777777778,2.2639738585053117,148.44444444444446,20.27777777777778,23.577777777777776
1981-02-28,6.5249999999999995,5.827800314124227,17.5,0.5558333333333334,1.9888888888888892,245.58333333333334,22.0,36.375
1981-03-31,6.825,6.0297331359534345,18.25,0.9458333333333332,1.9841630501722634,218.91666666666666,20.666666666666668,29.083333333333332
1981-04-30,6.25,5.874195492900113,14.333333333333334,0.4025,1.890795727865022,253.0,23.0,67.73333333333333
1981-05-31,6.49090909090909,5.820393030031835,10.909090909090908,0.39227272727272733,2.622222222222222,213.72727272727272,22.636363636363637,57.54545454545455
1981-06-30,6.314285714285715,6.063301559216411,28.0,0.7864285714285714,1.1,311.0,22.857142857142858,64.01428571428572
