data_coleta,ph,coliformes,dbo,fosforo,od,solido,temperatura,turbidez
1978-01-31,7.096882966688818,4.05258974747642,6.041666666666667,1.0711292452198415,3.2541666666666664,198.83333333333334,21.75,24.925
1978-02-28,7.1052687495577835,4.141509761299896,5.871527777777778,1.0711292452198415,3.3381944444444445,195.35763888888889,21.885416666666668,24.420833333333334
1978-03-31,7.1052687495577835,4.215281489577455,5.701388888888889,1.0711292452198415,3.422222222222222,191.88194444444446,22.020833333333332,23.916666666666668
1978-04-30,7.119156978767882,4.2783226642398455,5.53125,1.0711292452198415,3.5062499999999996,188.40625,22.15625,23.4125
1978-05-31,7.119156978767882,4.333362176238271,5.361111111111112,1.0711292452198415,3.5902777777777777,184.93055555555557,22.291666666666668,22.908333333333335
1978-06-30,7.119156978767882,4.382204403026286,5.190972222222222,1.0711292452198415,3.6743055555555557,181.45486111111111,22.427083333333332,22.40416666666667
1978-07-31,7.119156978767882,4.426104767282943,5.020833333333334,1.0711292452198415,3.7583333333333333,177.97916666666669,22.5625,21.9
1978-08-31,7.138697221101882,4.4659720563314504,4.850694444444445,1.0711292452198415,3.842361111111111,174.50347222222223,22.697916666666668,21.395833333333332
1978-09-30,7.138697221101882,4.5024853482636535,4.680555555555555,1.0711292452198415,3.926388888888889,171.02777777777777,22.833333333333332,20.891666666666666
1978-10-31,7.138697221101882,4.536165448190754,4.510416666666667,1.0711292452198415,4.010416666666667,167.55208333333334,22.96875,20.3875
1978-11-30,7.116736614779115,4.567420547139455,4.340277777777778,1.0711292452198415,4.094444444444445,164.07638888888889,23.104166666666668,19.883333333333333
1978-12-31,7.103917244565938,4.596576518070954,4.170138888888889,1.6655590277777748,4.178472222222222,160.60069444444446,23.239583333333332,19.379166666666666
1979-01-31,7.103917244565938,4.623897662805445,4.0,0.05637500000000001,4.2625,157.125,23.375,18.875
1979-02-28,7.138697221101882,3.7072507244602133,6.25,0.15325,3.725,186.75,25.25,49.0
1979-03-31,7.1052687495577835,4.676436556163573,3.8,0.087,3.06,130.0,20.2,9.4
1979-04-30,7.119156978767882,4.676436556163573,2.0,0.0435,3.55,151.5,25.0,22.0
1979-05-31,7.096882966688818,4.676436556163573,2.6,0.069,3.0200000000000005,144.2,22.4,18.6
1979-06-30,7.107294860572735,3.626963640717269,2.65,0.07300000000000001,3.1300000000000003,144.17499999999998,22.099999999999998,25.025000000000002
1979-07-31,7.088396275437606,3.9214445555007242,2.7,0.077,3.24,144.14999999999998,21.799999999999997,31.450000000000003
1979-08-31,7.088396275437606,4.095330655767949,2.75,0.081,3.35,144.125,21.5,37.875
1979-09-30,7.111752247051801,4.219162599904521,2.8,0.08499999999999999,3.46,144.1,21.2,44.3
1979-10-31,7.111752247051801,4.315407180985758,2.85,0.089,3.5700000000000003,144.075,20.9,50.725
1979-11-30,7.111752247051801,4.39414423863747,2.9,0.093,3.68,144.05,20.6,57.15
1979-12-31,7.111752247051801,4.460773472464354,2.95,0.097,3.79,144.025,20.3,63.575
1980-01-31,7.111752247051801,4.518527100117336,3.0,0.10099999999999999,3.9,144.0,20.0,70.0
1980-02-29,7.119156978767882,4.30413410364939,5.846153846153846,0.10492307692307692,4.3500000000000005,169.92307692307693,22.23076923076923,11.076923076923077
1980-03-31,7.119156978767882,3.4485002000711664,2.6666666666666665,0.11733333333333333,2.0333333333333337,175.0,25.333333333333332,27.0
1980-04-30,7.115856593925964,4.676436556163573,4.333333333333333,0.1443333333333333,3.4,328.3333333333333,24.333333333333332,78.33333333333333
1980-05-31,7.138697221101882,4.58619708947014,6.0,0.11449999999999999,4.3,162.16666666666666,24.166666666666668,3.8333333333333335
1980-06-30,7.111752247051801,4.518527100117336,6.0,0.253,3.7985261785238404,196.0,20.0,20.0
1980-07-31,7.111752247051801,3.5985169354268858,1.5,0.1755,2.0,163.0,23.0,33.5
1980-08-31,7.103917244565938,4.676436556163573,9.0,0.075,5.1,173.0,24.0,3.0
1980-09-30,7.1052687495577835,3.0773679052841563,7.5,0.075,4.96,173.2,25.1,8.4
1980-10-31,7.088396275437606,3.3136563466180315,6.0,0.075,4.82,173.4,26.2,13.8
1980-11-30,7.111752247051801,3.4658288153574364,4.5,0.075,4.68,173.6,27.3,19.200000000000003
1980-12-31,7.111752247051801,3.578295305120826,3.0,0.075,4.54,173.8,28.4,24.6
