"CÓDIGO HIDRO    SR HIDROGRAFICA   MUNICÍPIO              CORPO DÁGUA                LATITUDE LONGITUDE PERÍODO       INFLUÊNCIA DE MARÉ   ANO          DATA DA COLETA HORA DA COLETA TEMPERATURA DO AR (°C)    CONDUTIVIDADE (SpCond a 25 °C)     pH          OXIGENIO DISSOLVIDO (mg/L)     OXIGENIO DISSOLVIDO (%)    TURBIDEZ (NTU) TEMPERATURA DA ÁGUA (°C)    PROFUNDIDADE (m)"
"31642000   GUAMA             SANTA ISABEL           RIO GUAMÁ                    -1,49582  -48,19072 CHUVOSO    SIM                        2017           15/02/17          13:02                  33,27                              25,36       5,71                             4,44                       57,3            52,66                     28,54                  0,3"
"31641000   GUAMA             BUJARU                 RIO GUAMÁ                    -1,51523  -48,04723 CHUVOSO    SIM                        2017           15/02/17          11:45                  31,28                              24,71       5,69                             4,56                       58,8            35,98                     28,55                  0,4"
"32100000   GUAMA             BENEVIDES              RIO BENFICA                    -1,3132    -48,304 CHUVOSO   SIM                        2017           23/02/17          16:35                  29,53                              49,96       7,07                             6,52                      81,92            20,17                     27,06                  0,3"
"31645001   GUAMA             BELÉM                  RIO GUAMÁ                      -1,4552  -48,4017 CHUVOSO    SIM                        2017           23/02/17          15:10                  30,07                              31,88       8,02                             5,48                       71,2            37,53                     28,96                  0,3"
"31530000   GUAMA             OURÉM                  RIO GUAMÁ                    -1,55183  -47,11294 CHUVOSO    NÃO                        2017           06/03/17          16:54                    26,5                             26,62       6,76                             5,61                       69,8            18,83                     26,59                  0,3"
"31409000   GUAMA             CAPITÃO POÇO           RIO GUAMÁ                       -1,859 -47,05096 CHUVOSO    NÃO                        2017           07/03/17           9:22                  27,26                              19,42       5,86                             4,75                       58,4            14,54                     25,88                  0,3"
"32400001   COSTA ATLANTICA   VISEU                  RIO PIRIÁ                    -1,80199  -46,69789 CHUVOSO    NÃO                        2017           07/03/17          14:30                  28,77                              32,14       5,92                             5,95                       73,8            23,56                   26,351                   0,3"
"32620001   GURUPI            CACHOEIRA DO PIRIA     RIO GURUPI                   -1,80003  -46,31499 CHUVOSO    NÃO                        2017           08/03/17          11:37                  26,04                                39,2      6,19                             4,91                       61,3            44,83                     26,71                  0,8"
"32450003   COSTA ATLANTICA   VISEU                  RIO PIRIÁ                    -1,73615   -46,5919 CHUVOSO    NÃO                        2017           09/03/17          11:14                  24,02                              33,32       6,72                             5,78                      71,08            24,89                     25,86                  0,3"
"31025500   ACARA             TAILANDIA              RIO ACARÁ                      -2,9455  -48,6403 CHUVOSO    NÃO                        2017           21/03/17          10:44                  27,07                              14,08       5,15                             5,14                       63,4             4,89                     26,05                  0,3"
"31625000   CAPIM             GOIANÉSIA DO PARÁ      RIO VERDE                      -3,8167  -49,0938 CHUVOSO    NÃO                        2017           21/03/17          16:26                  29,12                              19,52       5,99                             4,99                      63,33            18,21                     27,64                  0,3"
"31626000   CAPIM             GOIANÉSIA DO PARÁ      RIO CAPIM                      -3,6728  -48,8444 CHUVOSO    NÃO                        2017           22/03/17          12:40                  32,81                              22,07       5,47                              5,3                      66,05            37,04                     26,63                  0,3"
"31023000   MOJU              MOJU                   RIO MOJU                       -1,8769  -48,7621 CHUVOSO    NÃO                        2017           23/03/17          14:28                  26,16                              15,34       5,24                             4,14                      52,47             14,8                     27,61                  0,3"
"31026000   ACARA             TAILANDIA              RIO ACARÁ                      -2,4152  -48,6899 CHUVOSO    NÃO                        2017           23/03/17           9:53                  30,98                              14,54       4,95                             5,71                      71,14             6,85                     26,58                  0,3"
"29840000   TOCANTINS         MOCAJUBA               RIO TOCANTINS                  -2,5801  -49,5105 CHUVOSO    SIM                        2017           23/03/17          14:53                  28,48                                40,8      6,92                             8,21                     106,24            15,28                     29,01                  0,3"
"31647000   GUAMA             BELÉM                  FURO DO MAGUARI                 -1,262  -48,4276 CHUVOSO    SIM                        2017           18/05/17          11:11                    31,7                               49,5      6,39                             4,99                       65,5            30,69                      29,5                1,28"
"31646000   GUAMA             BELÉM                  FURO DO MAGUARI                -1,2758    -48,445 CHUVOSO   SIM                        2017           19/05/17          11:00                    30,5                               33,4      6,41                             5,21                         68            31,13                     29,21                1,51"
"32100000   GUAMA             BENEVIDES              RIO BENFICA                    -1,3132    -48,304 CHUVOSO   SIM                        2017           22/05/17          15:16                  30,46                                36,9      5,89                             6,58                       84,4            10,34                     28,21                  0,3"
"31645001   GUAMA             BELÉM                  RIO GUAMÁ                      -1,4552  -48,4017 CHUVOSO    SIM                        2017           23/05/17          17:07                    26,1                             23,66       5,33                             5,32                      69,95            31,11                     29,64                  0,3"
"32370000   COSTA ATLANTICA   BRAGANÇA               RIO CAETE                      -0,9937  -46,7246 CHUVOSO    SIM                        2017           06/06/17          11:55                    30,8                               65,2       5,8                             5,35                       67,6           146,47                      27,3                0,58"
"32390000   COSTA ATLANTICA   AUGUSTO CORREA         RIO URUMAJO                    -1,0751  -46,6361 CHUVOSO    SIM                        2017           07/06/17          12:39                    33,4                                 17      4,41                             6,18                       76,6             6,75                     26,35                0,77"
"32120000   COSTA ATLANTICA   MARAPANIM              RIO MARAPANIM                  -0,9426  -47,6472 CHUVOSO    SIM                        2017           08/06/17          15:42                    30,3                               21,2      4,64                             3,15                       39,4            10,77                      26,6                0,73"
"31041000   ACARA             ACARÁ                  RIO ACARÁ                      -1,6788  -48,4144 SECO       SIM                        2017           14/06/17          10:07                    31,1                             16,78       5,66                             4,89                      63,01            89,47                     28,45                  0,3"
"31025000   MOJU              MOJU                   RIO MOJU                       -1,6995  -48,4421 CHUVOSO    SIM                        2017           14/06/17           9:40                  31,37                              13,78       5,51                             5,08                      66,51            21,71                     29,36                  0,3"
"31775000   GUAMA             BARCARENA              RIO ACARÁ                      -1,5584  -48,5052 SECO       SIM                        2017           19/06/17          15:21                  32,06                              14,58       5,58                             5,68                      75,62             37,3                      30,1                  0,3"
"31770000   GUAMA             BARCARENA              RIO ITAPORANGA                 -1,5178  -48,6426 SECO       SIM                        2017           19/06/17          14:40                  28,28                              19,92       5,53                             4,44                      57,99             6,35                      29,3                  0,3"
