,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
0,ph,1.6445555555555553,0.01788888888888889,0.002060804110110157,0.35555555555555557,2.0394444444444444,0.02,0.0,0.08122222222222222
1,coliformes,8.972777777777777,0.6405555555555557,0.004700932400290279,0.005111111111111111,56.58888888888889,1.645111111111111,0.011994854864060515,0.0037777777777777766
2,dbo,23.16377777777778,0.25833333333333336,0.0061764187154165874,0.2484444444444445,12.56322222222222,0.2121111111111111,0.0038713891978187464,0.04611111111111112
3,fosforo,82.80288888888889,0.1188888888888889,0.0016850834320114574,0.14777777777777779,73.111,0.10988888888888892,0.0004157397096415483,0.02588888888888889
4,od,93.41844444444445,0.16655555555555557,0.004103596736137641,0.09944444444444445,44.39433333333333,0.12877777777777777,0.003572874486847454,0.08377777777777777
5,solido,6.331666666666667,0.17444444444444446,0.002897423291201173,0.21666666666666667,4.013444444444445,0.11644444444444443,0.002182986967154279,0.05911111111111113
6,temperatura,1.8508888888888888,0.030000000000000013,1.3877787807814457e-17,0.094,2.110111111111111,0.030000000000000013,1.3877787807814457e-17,0.030222222222222223
7,turbidez,14.629555555555555,0.22311111111111115,0.0024993826398226706,0.1171111111111111,12.337111111111112,0.22144444444444444,0.004589305872902977,0.010555555555555558
