solido,ph,coliformes,dbo,fosforo,od,temperatura,turbidez
189.79166666666666,7.094057396342201,3535.8333333333335,4.916666666666667,1.0841596016982409,2.471666666666667,21.791666666666668,27.641666666666666
192.11860730593605,7.105960703508022,3439.4954337899544,4.788812785388128,1.0841596016982409,2.4426757990867585,21.951484018264843,27.898333333333333
194.69486301369864,7.105960703508022,3332.8356164383563,4.647260273972603,1.0841596016982409,2.410578767123288,22.128424657534246,28.1825
197.18801369863013,7.120679481845854,3229.6164383561645,4.51027397260274,1.0841596016982409,2.3795171232876715,22.299657534246577,28.4575
199.76426940639269,7.120679481845854,3122.9566210045664,4.3687214611872145,1.0841596016982409,2.347420091324201,22.47659817351598,28.741666666666667
202.2574200913242,7.120679481845854,3019.7374429223746,4.231735159817352,1.0841596016982409,2.3163584474885845,22.647831050228312,29.016666666666666
204.83367579908676,7.120679481845854,2913.0776255707765,4.090182648401827,1.0841596016982409,2.284261415525114,22.824771689497716,29.300833333333333
207.40993150684932,7.140307300056529,2806.4178082191784,3.9486301369863015,1.0841596016982409,2.252164383561644,23.001712328767123,29.585
209.9030821917808,7.140307300056529,2703.198630136986,3.8116438356164384,1.0841596016982409,2.2211027397260277,23.17294520547945,29.86
212.47933789954337,7.140307300056529,2596.538812785388,3.6700913242009134,1.0841596016982409,2.1890057077625573,23.349885844748858,30.144166666666667
214.9724885844749,7.148947399572888,2493.3196347031962,3.5331050228310503,1.0841596016982409,2.1579440639269407,23.52111872146119,30.419166666666666
217.54874429223744,7.150002985093936,2386.659817351598,3.391552511415525,1.8995660958904104,2.1258470319634704,23.698059360730593,30.703333333333333
220.125,7.154462891519535,2280.0,3.25,0.26799999999999996,2.09375,23.875,30.9875
189.75,7.140307300056529,12650.0,3.0,0.31275,5.175000000000001,23.5,5.4
156.6,7.105960703508022,31700.0,2.8,0.4208,3.1439999999999997,20.6,64.4
260.25179460881424,7.120679481845854,42000.0,6.5,0.1505,3.3899999999999997,24.5,49.5
176.8,7.094057396342201,17350.0,7.2,0.4548,2.3019999999999996,23.6,36.739999999999995
179.02857142857144,7.110451688132015,15788.775510204081,6.440816326530612,0.42617142857142853,2.4242040816326527,23.15918367346939,50.60857142857142
